sample	array	fish_units	fish_sd
HG02055	13a	41.0	7.0
HG02054	13a	49.0	8.0
HG01109	13a	81.0	9.0
HG01243	13a	30.0	13.0
HG03492	13a	57.0	8.0
HG02723	13a	72.0	12.0
HG02055	13b	22.0	8.0
HG02054	13b	39.0	7.0
HG01109	13b	67.0	9.0
HG01243	13b	14.0	5.0
HG03492	13b	41.0	9.0
HG02723	13b	20.0	10.0
HG02055	14a	19.0	4.0
HG02054	14a	77.0	11.0
HG01109	14a	52.0	6.0
HG01243	14a	68.0	17.0
HG03492	14a	126.0	13.0
HG02723	14a	68.0	9.0
HG02055	14b	1.0	1.0
HG02054	14b	1.0	2.0
HG01109	14b	39.0	9.0
HG01243	14b	31.0	12.0
HG03492	14b	33.0	9.0
HG02723	14b	52.0	7.0
HG02055	15a	29.0	7.0
HG02054	15a	63.0	24.0
HG01109	15a	55.0	8.0
HG01243	15a	94.0	22.0
HG03492	15a	45.0	5.0
HG02723	15a	125.0	24.0
HG02055	15b	23.0	4.0
HG02054	15b	28.0	9.0
HG01109	15b	12.0	6.0
HG01243	15b	30.0	12.0
HG03492	15b	36.0	4.0
HG02723	15b	81.0	22.0
HG02055	21a	138.0	25.0
HG02054	21a	78.0	12.0
HG01109	21a	58.0	8.0
HG01243	21a	128.0	21.0
HG03492	21a	93.0	9.0
HG02723	21a	39.0	17.0
HG02055	21b	82.0	10.0
HG02054	21b	61.0	9.0
HG01109	21b	39.0	9.0
HG01243	21b	44.0	14.0
HG03492	21b	55.0	9.0
HG02723	21b	2.0	2.0
HG02055	22a	87.0	12.0
HG02054	22a	89.0	12.0
HG01109	22a	81.0	13.0
HG01243	22a	75.0	19.0
HG03492	22a	43.0	6.0
HG02723	22a	60.0	5.0
HG02055	22b	40.0	13.0
HG02054	22b	37.0	10.0
HG01109	22b	37.0	5.0
HG01243	22b	37.0	13.0
HG03492	22b	29.0	5.0
HG02723	22b	50.0	5.0
HG02081	13a	158.0	15.0
HG02082	13a	41.0	22.0
HG02053	13a	115.0	22.0
HG002	13a	108.0	18.0
HG003	13a	62.0	9.0
HG004	13a	104.0	14.0
HG02081	13b	63.0	10.0
HG02082	13b	23.0	5.0
HG02053	13b	18.0	5.0
HG002	13b	5.0	3.0
HG003	13b	6.0	2.0
HG004	13b	8.0	8.0
HG02081	14a	87.0	10.0
HG02082	14a	203.0	40.0
HG02053	14a	65.0	9.0
HG002	14a	93.0	9.0
HG003	14a	73.0	6.0
HG004	14a	93.0	10.0
HG02081	14b	11.0	6.0
HG02082	14b	42.0	12.0
HG02053	14b	14.0	5.0
HG002	14b	31.0	5.0
HG003	14b	30.0	5.0
HG004	14b	19.0	5.0
HG02081	15a	67.0	20.0
HG02082	15a	106.0	11.0
HG02053	15a	54.0	10.0
HG002	15a	63.0	11.0
HG003	15a	52.0	7.0
HG004	15a	72.0	7.0
HG02081	15b	18.0	5.0
HG02082	15b	0.0	0.0
HG02053	15b	31.0	11.0
HG002	15b	52.0	11.0
HG003	15b	39.0	7.0
HG004	15b	49.0	10.0
HG02081	21a	65.0	9.0
HG02082	21a	77.0	13.0
HG02053	21a	123.0	12.0
HG002	21a	71.0	13.0
HG003	21a	75.0	8.0
HG004	21a	41.0	5.0
HG02081	21b	47.0	8.0
HG02082	21b	45.0	5.0
HG02053	21b	81.0	17.0
HG002	21b	45.0	7.0
HG003	21b	52.0	9.0
HG004	21b	31.0	7.0
HG02081	22a	40.0	6.0
HG02082	22a	32.0	9.0
HG02053	22a	69.0	10.0
HG002	22a	98.0	15.0
HG003	22a	31.0	6.0
HG004	22a	100.0	8.0
HG02081	22b	24.0	6.0
HG02082	22b	18.0	8.0
HG02053	22b	44.0	12.0
HG002	22b	28.0	4.0
HG003	22b	21.0	5.0
HG004	22b	26.0	5.0
