sample	quantity	nygc	google	pct
NA12878	rDNA45S.cn	498.57	498.83	0.052149146559155035
NA12878	rDNA45S.18S.flat	552.8	575.07	4.028581765557182
NA12878	rDNA5S.cn	212.87	199.53	-6.266735566308079
NA12878	DJ.cn	9.66	9.69	0.31055900621117516
NA12878	truth.auto	2.0016	2.0102	0.4296562749800392
NA12878	insert_median	434.0	371.0	-14.516129032258062
NA12878	gc_rel_65	1.257	1.1865	-5.608591885441516
NA12891	rDNA45S.cn	556.72	551.43	-0.9502083632705993
NA12891	rDNA45S.18S.flat	607.42	761.5	25.366303381515266
NA12891	rDNA5S.cn	216.62	208.06	-3.9516203489982415
NA12891	DJ.cn	9.66	9.8	1.449275362318847
NA12891	truth.auto	1.9985	2.0253	1.3410057543157494
NA12891	insert_median	431.0	408.0	-5.336426914153137
NA12891	gc_rel_65	1.2175	1.4485	18.97330595482545
NA12892	rDNA45S.cn	571.18	547.27	-4.186070940859265
NA12892	rDNA45S.18S.flat	708.2	807.85	14.070883931092904
NA12892	rDNA5S.cn	269.68	246.46	-8.610204687036482
NA12892	DJ.cn	9.89	10.05	1.6177957532861553
NA12892	truth.auto	1.981	1.9904	0.4745078243311385
NA12892	insert_median	443.0	401.0	-9.480812641083524
NA12892	gc_rel_65	1.3535	1.5544	14.842999630587371
