person	n_hap	a18S	a28S	a5S	aDJ	censat_bp	phasing	version	rDNA45S.cn	rDNA45S.18S.flat	rDNA5S.cn	DJ.cn	ratio45	ratio5
HG00097	2	307	295	175	9.908999999999999	10526080.0	hic	0.19.9	568.8	639.6	164.26	9.64	0.539732770745429	1.0653841470838914
HG00099	2	429	409	156	10.023	15294047.0	hic	0.19.9	550.43	633.98	150.42	9.46	0.7793906582126702	1.037096130833666
HG00126	2	286	280	125	10.329	9851408.0	hic	0.19.9	544.71	660.22	120.55	9.79	0.5250500266196692	1.0369141435089175
HG00128	2	226	225	208	10.058	8173837.0	hic	0.19.9	489.02	581.73	198.54	9.96	0.46214878737065973	1.0476478291528155
HG00133	2	192	181	261	10.094000000000001	7471693.0	hic	0.19.9	339.58	389.33	251.29	9.55	0.5654043229872195	1.0386406144295437
HG00140	2	316	307	165	10.225999999999999	12252539.0	hic	0.19.9	544.42	645.63	159.48	9.85	0.5804342235773852	1.034612490594432
HG00146	2	286	270	159	11.217	10498934.0	hic	0.19.9	484.6	543.72	152.69	10.25	0.5901774659513	1.0413255615953894
HG00232	2	165	152	232	10.712	5935687.0	hic	0.19.9	319.86	352.24	226.27	10.31	0.5158506846745451	1.025323728289212
HG00235	2	196	185	165	9.934000000000001	7612083.0	hic	0.19.9	443.81	519.72	166.2	9.42	0.4416304274351637	0.9927797833935019
HG00253	2	208	199	227	9.982	7173159.0	hic	0.19.9	467.82	533.64	228.84	9.54	0.444615450386901	0.9919594476490124
HG00272	2	298	293	240	10.065999999999999	10822323.0	hic	0.19.9	491.81	570.2	234.34	9.7	0.6059250523576177	1.024152940172399
HG00280	2	261	254	156	9.276	7906896.0	hic	0.19.9	493.31	564.44	147.28	9.55	0.529079078064503	1.0592069527430743
HG00290	2	336	323	249	10.212	12555273.0	hic	0.19.9	608.58	707.21	240.79	9.72	0.5521048999309869	1.0340961003363927
HG00320	2	300	284	125	10.926	11334617.0	hic	0.19.9	441.88	490.64	112.44	10.32	0.678917353127546	1.111704019921736
HG00321	2	258	247	275	10.364	10039031.0	hic	0.19.9	508.06	567.38	260.43	9.73	0.5078140377120812	1.055945935568099
HG00323	2	274	265	176	10.256	9804051.0	hic	0.19.9	543.5	617.74	168.86	9.68	0.5041398344066237	1.0422835485017172
HG00329	2	184	171	200	10.232	7263677.0	hic	0.19.9	312.96	347.99	188.77	9.82	0.5879345603271984	1.059490385124755
HG00344	2	275	265	153	9.456	10076449.0	hic	0.19.9	498.86	584.94	147.8	9.54	0.5512568656536904	1.0351826792963463
HG00350	2	272	261	289	10.46	9086483.0	hic	0.19.9	548.93	603.86	282.98	9.63	0.4955094456488077	1.0212735882394515
HG00408	2	244	234	167	9.882000000000001	8276766.0	trio	0.19.7	666.15	736.55	166.39	9.94	0.36628386999924945	1.003666085702266
HG00423	2	160	147	261	9.968	5489291.0	trio	0.19.9	361.92	416.82	262.62	9.59	0.4420866489832007	0.9938313913639479
HG00438	2	238	226	186	10.103	8310788.0	trio	0.19.9	527.29	601.8	195.17	9.51	0.45136452426558443	0.9530153199774556
HG00544	2	184	163	108	9.885	6682707.0	trio	0.19.9	339.04	391.59	109.63	9.63	0.5427088249174138	0.9851318069871386
HG00558	2	167	159	180	9.914000000000001	5410267.0	trio	0.19.9	380.77	447.42	177.15	9.76	0.438584972555611	1.0160880609652836
HG00597	2	200	186	142	10.21	6611417.0	trio	0.19.7	636.1	729.4	139.22	9.57	0.3144159723313944	1.0199683953454963
HG00609	2	199	189	135	10.001999999999999	6230696.0	trio	0.19.7	395.99	475.3	148.09	9.73	0.5025379428773453	0.91160780606388
HG00621	2	228	216	159	8.251	7807117.0	trio	0.19.7	603.24	690.56	158.34	8.75	0.37795902128506065	1.0041682455475558
HG00639	2	260	253	196	9.853	9320331.0	trio	0.19.9	599.29	686.67	194.74	9.52	0.43384671861703017	1.00647016534867
HG00642	2	156	148	171	9.530999999999999	5264428.0	trio	0.19.7	349.28	398.08	175.39	9.6	0.44663307375171785	0.9749700667084783
HG00658	2	167	163	159	9.21	5985046.0	trio	0.19.9	413.94	474.95	159.83	8.69	0.40344011209354014	0.9948069824188199
HG00673	2	144	136	189	8.627	4767607.0	trio	0.19.9	379.98	425.06	184.55	9.04	0.3789673140691615	1.0241127065835816
HG00706	2	216	210	179	9.898	7070312.0	trio	0.19.9	587.77	698.24	179.95	9.78	0.3674906851319394	0.9947207557654905
HG00733	2	335	320	189	9.948	11234097.0	trio	0.19.9	577.06	701.02	191.87	9.7	0.5805288878106263	0.9850419554906968
HG00735	2	132	125	136	9.821000000000002	4701466.0	trio	0.19.7	345.64	383.29	132.38	9.39	0.3819002430274274	1.0273455204713704
HG00738	2	156	145	171	10.982	5160900.0	trio	0.19.7	404.86	475.05	163.54	9.71	0.385318381662797	1.0456157514981046
