sample	conkord	ddpcr	ddpcr_sd	ngsdose	ngsdose_source	ratio18S_flat	assembly_18S	hall	ngsdose_google	ratio18S_flat_google	ngsdose_any	pipeline
HG02055	482.0	484.0	9.0	486.12	fetched here	551.58	203.0				486.12	NYGC 1000G NovaSeq
HG02054	522.0	476.0	28.0	461.41	fetched here	510.8		568.9376232			461.41	NYGC 1000G NovaSeq
HG01109	523.0	524.0	25.0	506.56	cohort run	575.02	199.0				506.56	NYGC 1000G NovaSeq
HG01243	550.0	510.0	18.0	517.9	cohort run	579.1	211.0				517.9	NYGC 1000G NovaSeq
HG03492	557.0	545.0	14.0	533.57	fetched here	594.1					533.57	NYGC 1000G NovaSeq
HG02723	568.0	575.0	37.0	539.39	fetched here	654.65	213.0				539.39	NYGC 1000G NovaSeq
HG02081	580.0	597.0	33.0	541.93	fetched here	600.86		686.8375238			541.93	NYGC 1000G NovaSeq
HG02082	587.0	597.0	26.0	561.33	fetched here	629.82		695.790472			561.33	NYGC 1000G NovaSeq
HG02053	614.0	713.0	37.0	619.91	fetched here	714.86					619.91	NYGC 1000G NovaSeq
HG002	594.0	599.0	57.0				58.0		557.82	656.92	557.82	Google GIAB NovaSeq
HG003	441.0	460.0	35.0						425.59	488.54	425.59	Google GIAB NovaSeq
HG004	542.0	523.0	23.0						523.1	605.01	523.1	Google GIAB NovaSeq
