sample	fish_total	conkord	ddpcr	ngsdose	ngsdose_google	assembly_18S
HG002	594.0	594.0	599.0		557.82	
HG003	441.0	441.0	460.0		425.59	
HG004	543.0	542.0	523.0		523.1	
HG01109	521.0	523.0	524.0	506.56		199.0
HG01243	551.0	550.0	510.0	517.9		211.0
HG02053	614.0	614.0	713.0	619.91		
HG02054	522.0	522.0	476.0	461.41		
HG02055	482.0	482.0	484.0	486.12		203.0
HG02081	580.0	580.0	597.0	541.93		
HG02082	587.0	587.0	597.0	561.33		
HG02723	569.0	568.0	575.0	539.39		213.0
HG03492	558.0	557.0	545.0	533.57		
