person	n_18S_mat	n_18S_pat	n_5S_units_mat	n_5S_units_pat	FatherID	MotherID	father_rDNA45S.cn	mother_rDNA45S.cn	child_rDNA45S.cn	father_rDNA5S.cn	mother_rDNA5S.cn	child_rDNA5S.cn
HG00408	119	125	66	101	HG00406	HG00407	547.62	612.63	666.15	185.12	148.83	166.39
HG00423	98	62	104	157	HG00421	HG00422	417.9	423.59	361.92	211.94	151.85	262.62
HG00438	115	123	73	113	HG00436	HG00437	485.25	450.95	527.29	180.8	140.06	195.17
HG00544	104	80	48	60	HG00542	HG00543	249.57	452.59	339.04	246.26	318.72	109.63
HG00558	62	105	103	77	HG00556	HG00557	410.78	554.51	380.77	148.52	160.4	177.15
HG00597	106	94	71	71	HG00595	HG00596	528.47	734.47	636.1	178.23	144.35	139.22
HG00609	96	103	75	60	HG00607	HG00608	399.32	391.51	395.99	134.57	127.01	148.09
HG00621	107	121	67	92	HG00619	HG00620	436.97	527.18	603.24	155.9	142.25	158.34
HG00639	125	135	126	70	HG00637	HG00638	613.82	563.76	599.29	157.15	197.82	194.74
HG00642	93	63	123	48	HG00640	HG00641	338.81	440.7	349.28	161.09	169.84	175.39
HG00658	61	106	102	57	HG00656	HG00657	445.24	463.52	413.94	110.17	151.27	159.83
HG00673	52	92	110	79	HG00671	HG00672	411.55	352.46	379.98	175.42	159.15	184.55
HG00706	104	112	104	75	HG00704	HG00705	519.69	423.84	587.77	175.96	170.16	179.95
HG00733	205	130	122	67	HG00731	HG00732	331.35	716.92	577.06	160.81	187.19	191.87
HG00735	65	67	73	63	HG01047	HG00734	299.53	402.12	345.64	124.28	146.62	132.38
HG00738	72	84	102	69	HG00736	HG00737	305.74	421.44	404.86	115.11	184.21	163.54
HG00741	88	121	57	187	HG00739	HG00740	480.19	453.61	483.09	327.58	150.71	251.22
HG01071	93	115	87	49	HG01069	HG01070	642.08	513.48	619.09	87.04	116.34	134.89
HG01074	125	117	55	99	HG01072	HG01073	529.34	635.8	488.69	191.98	135.07	155.77
HG01081	163	121	79	60	HG01079	HG01080	603.57	581.18	638.81	147.58	138.09	131.26
HG01099	72	102	107	60	HG01097	HG01098	361.95	396.57	377.64	144.29	187.13	167.54
HG01106	84	92	113	128	HG01104	HG01105	434.57	589.25	562.49	216.07	219.81	218.73
HG01109	103	96	160	78	HG01107	HG01108	375.68	493.19	506.56	135.42	257.0	234.02
HG01150	91	154	51	160	HG01148	HG01149	493.76	361.16	423.58	248.76	149.13	207.41
HG01175	71	61	72	91	HG01173	HG01174	364.45	265.83	364.08	132.49	232.36	162.38
HG01192	80	106	79	87	HG01190	HG01191	444.87	486.87	456.02	225.65	151.83	155.66
HG01243	66	145	156	163	HG01241	HG01242	512.43	415.19	517.9	217.72	239.45	292.87
HG01252	119	93	68	167	HG01250	HG01251	425.07	653.14	568.13	224.17	142.11	234.49
HG01255	97	143	74	96	HG01253	HG01254	430.85	385.6	379.78	172.31	141.24	164.89
HG01258	162	81	74	75	HG01256	HG01257	297.26	710.81	547.63	146.96	181.66	145.87
HG01261	125	111	77	67	HG01259	HG01260	441.87	572.66	524.46	152.97	158.54	144.91
HG01346	86	115	107	39	HG01344	HG01345	506.05	373.13	461.24	89.72	196.65	136.43
HG01358	100	124	79	146	HG01356	HG01357	512.05	501.64	534.51	289.09	138.01	216.77
HG01361	123	109	87	61	HG01359	HG01360	473.72	471.82	394.49	190.74	170.27	145.73
HG01433	121	136	105	88	HG01431	HG01432	426.56	348.14	551.16	174.6	198.55	187.91
HG01496	79	134	74	56	HG01494	HG01495	420.76	333.82	383.65	140.38	162.75	129.52
