sample	ddpcr	ddpcr_sd	conkord	ngsdose	flat	source	pipeline
HG02055	484.0	9.0	482.0	487.29	551.59	this run	NYGC 1000G NovaSeq
HG02054	476.0	28.0	522.0	462.79	510.82	this run	NYGC 1000G NovaSeq
HG01109	524.0	25.0	523.0	508.91	575.02	this run	NYGC 1000G NovaSeq
HG01243	510.0	18.0	550.0	517.84	579.1	this run	NYGC 1000G NovaSeq
HG03492	545.0	14.0	557.0	533.57	594.1	fetched here	NYGC 1000G NovaSeq
HG02723	575.0	37.0	568.0	539.39	654.65	fetched here	NYGC 1000G NovaSeq
HG02081	597.0	33.0	580.0	543.15	600.86	this run	NYGC 1000G NovaSeq
HG02082	597.0	26.0	587.0	563.16	629.83	this run	NYGC 1000G NovaSeq
HG02053	713.0	37.0	614.0	620.26	714.87	this run	NYGC 1000G NovaSeq
HG002	599.0	57.0	594.0	557.82	656.92	Google GIAB NovaSeq	Google GIAB NovaSeq
HG003	460.0	35.0	441.0	425.59	488.54	Google GIAB NovaSeq	Google GIAB NovaSeq
HG004	523.0	23.0	542.0	523.1	605.01	Google GIAB NovaSeq	Google GIAB NovaSeq
