sample	cls	assembly_Mb	assembly_gapped_Mb	ngsdose_Mb
HG00097	HSat1A	17.419	0.0	15.8891
HG00097	HSat1B	1.645	0.0	1.3726
HG00097	HSat2	39.527	1.661	45.4432
HG00097	HSat3	34.186	22.377	52.6573
HG00097	bSat	15.952	0.0	12.2388
HG00097	aSatHOR	154.069	0.0	154.8394
HG00097	ACRO	4.066	0.0	3.2289
HG00097	SST1	2.133	0.0	0.5068
HG00097	CER	2.07	0.0	0.8853
HG00097	SATR	2.77	0.0	0.2453
HG00099	HSat1A	19.809	0.0	19.6554
HG00099	HSat1B	2.638	0.0	2.2289
HG00099	HSat2	35.745	0.0	43.9517
HG00099	HSat3	65.125	0.0	58.6296
HG00099	bSat	14.375	0.0	10.4433
HG00099	aSatHOR	147.986	0.0	147.5458
HG00099	ACRO	2.947	0.0	2.25
HG00099	SST1	1.946	0.0	0.4751
HG00099	CER	1.78	0.0	0.7589
HG00099	SATR	2.739	0.0	0.2458
HG00126	HSat1A	22.073	0.0	19.1708
HG00126	HSat1B	12.494	0.0	11.0599
HG00126	HSat2	43.343	0.0	39.6108
HG00126	HSat3	60.967	22.108	75.1528
HG00126	bSat	13.788	0.0	9.2009
HG00126	aSatHOR	137.87	0.0	139.3975
HG00126	ACRO	3.919	0.0	3.0072
HG00126	SST1	2.265	0.0	0.4506
HG00126	CER	1.88	0.0	0.7982
HG00126	SATR	2.701	0.0	0.2187
HG00128	HSat1A	24.687	0.0	22.6479
HG00128	HSat1B	1.536	0.0	1.1877
HG00128	HSat2	29.806	3.688	60.6157
HG00128	HSat3	54.998	0.213	54.5136
HG00128	bSat	13.422	0.0	10.503
HG00128	aSatHOR	147.377	0.0	156.7723
HG00128	ACRO	4.443	0.0	3.5919
HG00128	SST1	2.075	0.0	0.7104
HG00128	CER	1.928	0.0	0.8398
HG00128	SATR	2.72	0.0	0.2483
HG00133	HSat1A	15.934	0.0	13.1182
HG00133	HSat1B	1.95	0.0	1.5673
HG00133	HSat2	42.519	0.0	42.9246
HG00133	HSat3	34.552	3.474	61.9304
HG00133	bSat	17.271	0.0	13.89
HG00133	aSatHOR	141.66	0.0	140.8142
HG00133	ACRO	4.224	0.0	3.5795
HG00133	SST1	1.88	0.0	0.4853
HG00133	CER	1.93	0.0	0.8593
HG00133	SATR	2.759	0.0	0.2549
HG00140	HSat1A	22.87	0.0	25.6857
HG00140	HSat1B	14.51	0.0	13.4056
HG00140	HSat2	44.275	6.042	44.0734
HG00140	HSat3	81.498	0.0	79.9997
HG00140	bSat	16.987	0.0	12.5896
HG00140	aSatHOR	140.974	0.0	145.1288
HG00140	ACRO	3.371	0.0	2.6141
HG00140	SST1	2.838	0.0	0.6256
HG00140	CER	2.046	0.0	0.9188
HG00140	SATR	2.754	0.0	0.2537
HG00146	HSat1A	21.675	0.0	18.973
HG00146	HSat1B	2.032	0.0	1.6967
HG00146	HSat2	28.633	8.643	43.8965
HG00146	HSat3	58.839	0.093	74.4532
HG00146	bSat	14.739	0.0	11.0819
HG00146	aSatHOR	138.596	0.0	141.311
HG00146	ACRO	4.842	0.0	3.9464
HG00146	SST1	1.944	0.0	0.6286
HG00146	CER	2.065	0.0	0.9212
HG00146	SATR	2.752	0.0	0.2553
HG00232	HSat1A	23.866	0.0	20.2999
HG00232	HSat1B	2.652	0.0	2.2193
HG00232	HSat2	45.708	0.0	44.7768
HG00232	HSat3	64.767	0.247	59.1907
HG00232	bSat	14.52	0.0	10.8322
HG00232	aSatHOR	146.666	0.0	146.0134
HG00232	ACRO	3.439	0.0	2.7011
HG00232	SST1	2.121	0.0	0.7891
HG00232	CER	2.166	0.0	0.9295
HG00232	SATR	2.78	0.0	0.2617
HG00235	HSat1A	17.205	0.0	14.3411
HG00235	HSat1B	2.257	0.0	1.8469
HG00235	HSat2	46.608	0.0	45.7254
HG00235	HSat3	60.088	0.0	56.9914
HG00235	bSat	11.798	0.0	8.7662
HG00235	aSatHOR	147.05	0.0	144.1941
HG00235	ACRO	3.679	0.0	2.954
HG00235	SST1	2.031	0.0	0.6754
HG00235	CER	2.006	0.0	0.8996
HG00235	SATR	2.708	0.0	0.232
HG00253	HSat1A	25.74	0.0	20.8993
HG00253	HSat1B	2.058	0.0	1.7281
HG00253	HSat2	31.481	0.586	54.634
HG00253	HSat3	57.003	0.542	58.4573
HG00253	bSat	13.501	0.0	10.1159
HG00253	aSatHOR	153.466	0.0	150.7227
HG00253	ACRO	4.109	0.0	3.2927
HG00253	SST1	2.401	0.0	0.8065
HG00253	CER	1.992	0.0	0.8709
HG00253	SATR	2.755	0.0	0.2552
HG00272	HSat1A	24.096	0.0	23.3739
HG00272	HSat1B	1.779	0.0	1.4587
HG00272	HSat2	48.76	0.0	55.4044
HG00272	HSat3	52.854	11.228	65.4452
HG00272	bSat	14.578	0.0	11.1928
HG00272	aSatHOR	142.241	0.0	146.111
HG00272	ACRO	3.593	0.0	2.9006
HG00272	SST1	1.578	0.0	0.37
HG00272	CER	1.875	0.0	0.8344
HG00272	SATR	2.774	0.0	0.2565
HG00280	HSat1A	18.839	0.0	17.1212
HG00280	HSat1B	13.853	0.0	12.7575
HG00280	HSat2	46.875	0.0	49.9543
HG00280	HSat3	75.695	0.0	66.3468
HG00280	bSat	15.043	0.0	10.291
HG00280	aSatHOR	146.723	0.0	147.5758
HG00280	ACRO	4.461	0.0	3.5408
HG00280	SST1	2.594	0.0	0.655
HG00280	CER	2.025	0.0	0.885
HG00280	SATR	2.705	0.0	0.2371
HG00290	HSat1A	20.206	0.0	17.1482
HG00290	HSat1B	14.159	0.0	13.0177
HG00290	HSat2	47.823	0.0	46.2916
