metric	label	group	father_son.n	father_son.slope	father_son.slope_se	father_son.r	father_son.r_lo	father_son.r_hi	father_daughter.n	father_daughter.slope	father_daughter.slope_se	father_daughter.r	father_daughter.r_lo	father_daughter.r_hi	mother_son.n	mother_son.slope	mother_son.slope_se	mother_son.r	mother_son.r_lo	mother_son.r_hi	mother_daughter.n	mother_daughter.slope	mother_daughter.slope_se	mother_daughter.r	mother_daughter.r_lo	mother_daughter.r_hi	father_contrast.diff	father_contrast.z	father_slope_contrast.diff	father_slope_contrast.se	father_slope_contrast.z	heterogeneity.q	heterogeneity.p	heterogeneity.p_normal	heterogeneity.n_trios	heterogeneity.n_perm
rDNA45S.cn	45S, NGS-DOSE calibrated	rDNA	67	0.6583742473255889	0.14505800373587238	0.5960533025251317	0.4153034491852147	0.731526450480447	68	0.7199634630991263	0.09468181068640255	0.6632495165866746	0.5046198467502228	0.7785589685329529	67	0.39052444034229483	0.0821610430948152	0.3753040043343296	0.1484767410103298	0.5646151996164888	68	0.7872074175190442	0.09129635756018725	0.7385324139526743	0.6069859038135001	0.8306877627288413	-0.06719621406154297	-0.6336903824522565	-0.061589215773537376	0.1732237562307553	-0.35554716693415295	10.568850707500069	0.02097902097902098	0.014301043451609124	135	1000
rDNA45S.cn_single	45S, NGS-DOSE single-sample	rDNA	67	0.6513969969386387	0.14525808329065187	0.596419128989932	0.41577304942294274	0.7317902056127389	68	0.7084240587715365	0.09317091542331234	0.6598597223178586	0.5001131705679775	0.7761737001173808	67	0.3831014727091631	0.08002118429756162	0.3687658740946798	0.1410473050917447	0.5594236970935705	68	0.7717197670357644	0.08908433055743488	0.7348999311488407	0.6019443219356023	0.828209054070704	-0.06344059332792662	-0.5962356446870395	-0.05702706183289774	0.1725709426354622	-0.330455759017098	10.557097805397012	0.01998001998001998	0.014378530314780006	135	1000
rDNA45S.18S.flat	45S, 18S depth ratio (published)	rDNA	67	0.6342496733901185	0.1512514458321655	0.5666206300892294	0.37783467912378477	0.7101722578642298	68	0.6783516102886216	0.09072312688303069	0.6420306802973158	0.4765513454919494	0.763573041487426	67	0.39591993242483875	0.08713358600173679	0.38134256791076143	0.15536132761199833	0.5693967588525943	68	0.798065949262809	0.0867512878179174	0.742438292343578	0.61241877524151	0.8333489591957578	-0.07541005020808644	-0.676278218950313	-0.04410193689850306	0.17637371010940087	-0.25004824625590494	10.394299227477909	0.029970029970029972	0.01549533968376135	135	1000
rDNA5S.cn	5S, NGS-DOSE calibrated	rDNA	67	0.36616365404597323	0.1175272305651972	0.31160350189225755	0.07716665133047336	0.5133886272485	68	0.47129994833018174	0.0753644698754758	0.5773706771240528	0.393049370378615	0.7170846152423012	67	0.5633512408215569	0.13907815555704464	0.5748606669220934	0.38826256321644254	0.7161773670265089	68	0.10225541488331569	0.14886196058397735	0.10429536115296818	-0.13755452083935257	0.33440889565316145	-0.2657671752317952	-1.909130244028883	-0.10513629428420851	0.13961537610140412	-0.75304237412824	14.242773411073973	0.004995004995004995	0.002592647605207678	135	1000
HSat1A.mass_Mb	HSat1A array	satellites	67	0.5184850418185571	0.1517500548231111	0.4605119350391834	0.24769984830751232	0.6309306850939959	68	0.3765204468407782	0.09009343957939422	0.48680309659651	0.28098748236721205	0.6498101552679583	67	0.5177646401227586	0.10939179670218167	0.4773483141319733	0.2678483338172272	0.6437459202652296	68	0.2784677414698514	0.13022187502573002	0.24711562806155038	0.009230161509993257	0.4585286066994761	-0.02629116155732658	-0.1925157125822015	0.14196459497777897	0.17647919705750925	0.8044267955928935	3.431890538484654	0.3866133866133866	0.3297037167109852	135	1000
HSat1B.mass_Mb	HSat1B array	satellites	67	1.0234949269945874	0.025027128563193494	0.9780647427704581	0.9644413235928628	0.9865045460794033	68	0.026677225766959908	0.016755769567333427	0.17419729785327093	-0.06701540669992238	0.39617209299446354	67	1.1178915393463544	0.9754228000570727	0.1337656048188646	-0.10998119988211004	0.36233581567705553	68	0.5093804990643915	0.11564048412532409	0.4522562108007614	0.23967089057804986	0.6234573969814414	0.8038674449171872	11.782798187051357	0.9968177012276276	0.030118316319346153	33.096727275798386	194.28475893145892	0.000999000999000999	7.243999467170063e-42	135	1000
HSat2.mass_Mb	HSat2 array	satellites	67	0.6936123289685592	0.1546609189547181	0.5353794542496035	0.3387288204982138	0.6872132381749795	68	0.555649136790826	0.08743605090462367	0.615270607616118	0.44162739953339564	0.7444850410248126	67	0.6141418450025008	0.1536214856078397	0.46825594841496626	0.25694448246886176	0.6368367168969062	68	0.5659305861409152	0.12602134582566632	0.47731050621110394	0.2695582252665881	0.6426079351296349	-0.07989115336651442	-0.6797613191118538	0.13796319217773323	0.17766559275704966	0.7765329799472889	1.8087912503967223	0.6023976023976024	0.613023732328216	135	1000
HSat3.mass_Mb	HSat3 array	satellites	67	0.561430240252742	0.08621934065306697	0.6425570630923797	0.4757812610172697	0.7647330239309861	68	0.3577643600392539	0.09294010807872442	0.49504426605143415	0.29095757484761786	0.6560392500456742	67	0.18419292815228316	0.21505560301162469	0.13400547267025842	-0.10973990172662698	0.3625479765522378	68	0.32554560285475664	0.12981263229141418	0.33857125659579446	0.10893583119663183	0.5339012196631802	0.14751279704094555	1.2481679063880475	0.20366588021348814	0.1267739657513899	1.6065276415891818	13.784571237142341	0.06293706293706294	0.003213548063080119	135	1000
bSat.mass_Mb	bSat array	satellites	67	0.8009105141053254	0.15735739665292295	0.6095771941402495	0.4327279390270724	0.7412500813596797	68	0.21606900950094352	0.10680357985981852	0.2228762447319536	-0.016425937365716153	0.43802860867423693	67	0.6692643025478646	0.12700435134338375	0.5469916473581201	0.35318537374071535	0.6957825589143081	68	0.32593380365165914	0.08599378172197533	0.4355421069187445	0.21995416322621933	0.6105665193202879	0.38670094940829586	2.7346961253620656	0.5848415046043819	0.1901797963829438	3.075203127396098	8.534234728394097	0.03496503496503497	0.03616940080480533	135	1000
aSatHOR.mass_Mb	aSatHOR array	satellites	67	0.27618949175954965	0.10682573734335919	0.3000284208405131	0.06446132833757587	0.5039231949452013	68	0.28735107780158303	0.1110111095015854	0.29402032700234226	0.05978191849532634	0.49756855202209244	67	0.18928593197582366	0.09104902860802225	0.22007496695367013	-0.02126190489588055	0.4371765633294029	68	0.1275362970534915	0.11206642040598318	0.14122142135038793	-0.10059505138130352	0.3672837933432139	0.006008093838170858	0.03741985497120453	-0.011161586042033378	0.15406233995277804	-0.07244850393324247	1.2011918423118937	0.7622377622377622	0.7527184728455999	135	1000
