SAMPLE	AUTO_HQ_median	N_BINS
HG00096.by1000.	34.23	142070
HG00097.by1000.	32.93	142070
HG00099.by1000.	38.3	142070
HG00100.by1000.	31.73	142070
HG00101.by1000.	34.32	142070
HG00102.by1000.	32.5	142070
HG00103.by1000.	32.79	142070
HG00105.by1000.	30.03	142070
HG00106.by1000.	36.65	142070
HG00107.by1000.	33.47	142070
HG00108.by1000.	33.17	142070
HG00109.by1000.	36.65	142070
HG00110.by1000.	31.87	142070
HG00111.by1000.	33.38	142070
HG00112.by1000.	33.32	142070
HG00113.by1000.	30.2	142070
HG00114.by1000.	34.05	142070
HG00115.by1000.	29.78	142070
HG00116.by1000.	45.0	142070
HG00117.by1000.	39.06	142070
HG00118.by1000.	34.99	142070
HG00119.by1000.	35.59	142070
HG00120.by1000.	38.71	142070
HG00121.by1000.	32.87	142070
HG00122.by1000.	35.23	142070
HG00123.by1000.	31.82	142070
HG00125.by1000.	29.94	142070
HG00126.by1000.	42.85	142070
HG00127.by1000.	35.16	142070
HG00128.by1000.	42.79	142070
HG00129.by1000.	30.82	142070
HG00130.by1000.	31.43	142070
HG00131.by1000.	33.71	142070
HG00132.by1000.	32.21	142070
HG00133.by1000.	50.7	142070
HG00136.by1000.	32.23	142070
HG00137.by1000.	33.29	142070
HG00138.by1000.	35.05	142070
HG00139.by1000.	34.69	142070
HG00140.by1000.	33.04	142070
HG00141.by1000.	34.19	142070
HG00142.by1000.	32.22	142070
HG00143.by1000.	33.38	142070
HG00145.by1000.	30.71	142070
HG00146.by1000.	43.23	142070
HG00148.by1000.	30.3	142070
HG00149.by1000.	33.06	142070
HG00150.by1000.	39.7	142070
HG00151.by1000.	35.51	142070
HG00154.by1000.	33.92	142070
HG00155.by1000.	31.16	142070
HG00157.by1000.	30.95	142070
HG00158.by1000.	36.38	142070
HG00159.by1000.	34.52	142070
HG00160.by1000.	33.07	142070
HG00171.by1000.	35.37	142070
HG00173.by1000.	30.72	142070
HG00174.by1000.	34.4	142070
HG00176.by1000.	34.46	142070
HG00177.by1000.	31.56	142070
HG00178.by1000.	32.2	142070
HG00179.by1000.	31.83	142070
HG00180.by1000.	35.06	142070
HG00181.by1000.	33.44	142070
HG00182.by1000.	34.04	142070
HG00183.by1000.	32.14	142070
HG00185.by1000.	33.94	142070
HG00186.by1000.	33.65	142070
HG00187.by1000.	34.97	142070
HG00188.by1000.	31.36	142070
HG00189.by1000.	29.93	142070
HG00190.by1000.	33.25	142070
HG00231.by1000.	32.25	142070
HG00232.by1000.	54.05	142070
HG00233.by1000.	42.22	142070
HG00234.by1000.	38.61	142070
HG00235.by1000.	37.53	142070
HG00236.by1000.	39.4	142070
HG00237.by1000.	32.18	142070
HG00238.by1000.	29.78	142070
HG00239.by1000.	35.55	142070
HG00240.by1000.	29.86	142070
HG00242.by1000.	41.84	142070
HG00243.by1000.	40.4	142070
HG00244.by1000.	36.47	142070
HG00245.by1000.	43.39	142070
HG00246.by1000.	33.75	142070
HG00250.by1000.	31.11	142070
HG00251.by1000.	40.63	142070
HG00252.by1000.	34.11	142070
HG00253.by1000.	36.17	142070
HG00254.by1000.	34.71	142070
HG00255.by1000.	34.43	142070
HG00256.by1000.	32.72	142070
HG00257.by1000.	34.89	142070
HG00258.by1000.	37.78	142070
HG00259.by1000.	31.51	142070
HG00260.by1000.	31.15	142070
HG00261.by1000.	31.73	142070
HG00262.by1000.	30.33	142070
HG00263.by1000.	30.98	142070
HG00264.by1000.	34.39	142070
HG00265.by1000.	35.51	142070
HG00266.by1000.	31.34	142070
HG00267.by1000.	33.97	142070
HG00268.by1000.	32.16	142070
HG00269.by1000.	31.2	142070
HG00271.by1000.	34.46	142070
HG00272.by1000.	44.87	142070
HG00273.by1000.	35.69	142070
HG00274.by1000.	32.98	142070
HG00275.by1000.	32.29	142070
HG00276.by1000.	29.68	142070
HG00277.by1000.	33.84	142070
HG00278.by1000.	36.28	142070
HG00280.by1000.	36.3	142070
HG00281.by1000.	32.56	142070
HG00282.by1000.	32.22	142070
HG00284.by1000.	33.04	142070
HG00285.by1000.	35.09	142070
HG00288.by1000.	32.49	142070
HG00290.by1000.	45.14	142070
HG00304.by1000.	33.31	142070
HG00306.by1000.	33.34	142070
HG00308.by1000.	32.31	142070
HG00309.by1000.	34.04	142070
HG00310.by1000.	33.38	142070
HG00311.by1000.	32.24	142070
HG00313.by1000.	36.86	142070
HG00315.by1000.	32.8	142070
HG00318.by1000.	30.93	142070
HG00319.by1000.	34.14	142070
HG00320.by1000.	40.18	142070
HG00321.by1000.	54.79	142070
HG00323.by1000.	30.96	142070
HG00324.by1000.	32.92	142070
HG00325.by1000.	30.5	142070
HG00326.by1000.	41.58	142070
HG00327.by1000.	33.98	142070
HG00328.by1000.	32.56	142070
HG00329.by1000.	35.59	142070
HG00330.by1000.	32.8	142070
HG00331.by1000.	34.01	142070
HG00332.by1000.	35.5	142070
HG00334.by1000.	32.04	142070
HG00335.by1000.	32.97	142070
HG00336.by1000.	33.6	142070
HG00337.by1000.	31.14	142070
HG00338.by1000.	36.32	142070
HG00339.by1000.	41.43	142070
HG00341.by1000.	32.45	142070
HG00342.by1000.	33.03	142070
HG00343.by1000.	32.54	142070
HG00344.by1000.	34.68	142070
HG00345.by1000.	33.56	142070
HG00346.by1000.	31.63	142070
HG00349.by1000.	35.82	142070
HG00350.by1000.	47.08	142070
HG00351.by1000.	30.22	142070
HG00353.by1000.	32.15	142070
HG00355.by1000.	47.02	142070
HG00356.by1000.	33.39	142070
HG00357.by1000.	33.07	142070
HG00358.by1000.	35.94	142070
HG00360.by1000.	32.98	142070
HG00361.by1000.	32.42	142070
HG00362.by1000.	33.99	142070
HG00364.by1000.	32.88	142070
HG00365.by1000.	33.4	142070
HG00366.by1000.	29.56	142070
HG00367.by1000.	32.91	142070
HG00368.by1000.	33.45	142070
HG00369.by1000.	46.36	142070
HG00371.by1000.	36.17	142070
HG00372.by1000.	32.02	142070
HG00373.by1000.	31.97	142070
HG00375.by1000.	36.03	142070
HG00376.by1000.	34.15	142070
HG00378.by1000.	34.71	142070
HG00379.by1000.	34.52	142070
HG00380.by1000.	34.36	142070
HG00381.by1000.	34.18	142070
HG00382.by1000.	32.38	142070
HG00383.by1000.	33.7	142070
HG00384.by1000.	33.51	142070
HG00403.by1000.	31.64	142070
HG00404.by1000.	30.22	142070
HG00405.by1000.	32.55	142070
HG00406.by1000.	33.34	142070
HG00407.by1000.	35.04	142070
HG00408.by1000.	33.42	142070
HG00409.by1000.	30.02	142070
HG00410.by1000.	33.98	142070
HG00418.by1000.	35.0	142070
HG00419.by1000.	33.07	142070
HG00420.by1000.	33.14	142070
HG00421.by1000.	34.68	142070
HG00422.by1000.	35.59	142070
HG00423.by1000.	33.29	142070
HG00427.by1000.	36.0	142070
HG00428.by1000.	32.52	142070
HG00429.by1000.	33.86	142070
HG00436.by1000.	30.89	142070
HG00437.by1000.	32.09	142070
HG00438.by1000.	33.16	142070
HG00442.by1000.	34.97	142070
HG00443.by1000.	35.46	142070
HG00444.by1000.	33.58	142070
HG00445.by1000.	37.62	142070
HG00446.by1000.	33.77	142070
HG00447.by1000.	32.95	142070
HG00448.by1000.	36.61	142070
HG00449.by1000.	32.27	142070
HG00450.by1000.	35.46	142070
HG00451.by1000.	34.58	142070
HG00452.by1000.	31.94	142070
HG00453.by1000.	35.79	142070
HG00457.by1000.	33.95	142070
HG00458.by1000.	34.51	142070
HG00459.by1000.	33.03	142070
HG00463.by1000.	33.85	142070
HG00464.by1000.	34.11	142070
HG00465.by1000.	33.34	142070
HG00472.by1000.	30.25	142070
HG00473.by1000.	36.89	142070
HG00474.by1000.	35.3	142070
HG00475.by1000.	33.35	142070
HG00476.by1000.	30.62	142070
HG00477.by1000.	34.91	142070
HG00478.by1000.	33.38	142070
HG00479.by1000.	31.01	142070
HG00480.by1000.	33.28	142070
HG00500.by1000.	36.7	142070
HG00501.by1000.	30.44	142070
HG00502.by1000.	32.89	142070
HG00512.by1000.	34.48	142070
HG00513.by1000.	62.9	142070
HG00514.by1000.	33.5	142070
HG00524.by1000.	32.51	142070
HG00525.by1000.	32.15	142070
HG00526.by1000.	33.67	142070
HG00530.by1000.	33.77	142070
HG00531.by1000.	34.49	142070
HG00532.by1000.	35.19	142070
HG00533.by1000.	33.69	142070
