PC	SINGULAR_VALUES
1	338.7055774857011
2	244.4322528787498
3	153.62988283659536
4	133.86993810059028
5	126.38647754234496
6	114.08349810672364
7	104.51921973938839
8	97.03100804038681
9	88.98383151827534
10	85.44106962190715
11	82.06656529916742
12	79.61411704705216
13	76.97257428725612
14	72.76959818620075
15	72.02812026435005
16	70.08580404406227
17	68.24269811564523
18	65.39928086965045
19	64.38307800685733
20	63.76483625469899
21	61.17387788528535
22	61.02183832758663
23	60.43281974745823
24	59.513720667740046
25	59.37094564097908
26	59.12676079750351
27	58.87695459787032
28	58.48753009289939
29	58.2011865046021
30	57.64249827483068
31	57.55536766829263
32	57.333267225064034
33	57.12779694253003
34	56.54027396203978
35	56.0864569357133
36	55.925293221337796
37	55.82522379380168
38	55.63205010312216
39	55.52621762621205
40	55.40978123329542
41	55.242981354326844
42	55.10234594875548
43	54.972942428167066
44	54.904846841751684
45	54.88008956824773
46	54.759636684411745
47	54.64921747653119
48	54.63696731322834
49	54.61536513217117
50	54.560260670971495
51	54.499376703325176
52	54.43060856490002
53	54.37601848679784
54	54.35808685703492
55	54.325606939272525
56	54.29219129085637
57	54.26205981095353
58	54.2341471922333
59	54.229597716321024
60	54.1780465633523
61	54.14259863759844
62	54.12812287833517
63	54.11250496385194
64	54.07509495639183
65	54.05425295162234
66	54.03708831037544
67	54.02085059445168
68	54.01494847152061
69	53.983158276799685
70	53.97294075599419
71	53.94341709948941
72	53.933702058104565
73	53.89982192613546
74	53.889354029878525
75	53.8771376603884
76	53.866279647518084
77	53.842292866908664
78	53.833126098568954
79	53.81759954811627
80	53.81028428690919
81	53.78819336700259
82	53.76691063934347
83	53.76369773100694
84	53.739891073092075
85	53.73276580357734
86	53.71842502823595
87	53.703211205221066
88	53.696986836604204
89	53.69168287873132
90	53.6763695906888
91	53.653414819234044
92	53.64791385147203
93	53.618032995465676
94	53.60219553471397
95	53.59156785631752
96	53.57813524442272
97	53.569497474476016
98	53.567251783844554
99	53.54785523421085
100	53.53499647216234
101	53.516332675562474
102	53.511322283425784
103	53.503009400594685
104	53.47894270996029
105	53.471309818365384
106	53.459577140219494
107	53.44830264331443
108	53.440447403814744
109	53.41962211675511
110	53.399958179455844
111	53.37890261816947
112	53.37555741163704
113	53.37465649469605
114	53.35729853810595
115	53.353148254729334
116	53.34139799811226
117	53.30904377566326
118	53.305076169463184
119	53.301236396790735
120	53.29363397549052
121	53.26672822934769
122	53.26371317019177
123	53.24722455734656
124	53.22876783114322
125	53.21595530428704
126	53.20990407539929
127	53.20040464010807
128	53.19388551692588
129	53.18589122761194
130	53.16305716560017
131	53.15967526173282
132	53.14346823026406
133	53.13972685859917
134	53.12300325607662
135	53.1107882645227
136	53.09420356337618
137	53.09213768720272
138	53.073769319256016
139	53.06920089034837
140	53.060967172492205
141	53.050538601174146
142	53.0329922386281
143	53.02006323550305
144	53.012052818756445
145	53.00567022134615
146	52.99532814129056
147	52.988911765143804
148	52.97253872763855
149	52.95596778249978
150	52.952073017922146
151	52.931851317504304
152	52.922272174133845
153	52.91198260877756
154	52.897978937458305
155	52.8858650193285
156	52.87249834513422
157	52.865215887553646
158	52.8576539716273
159	52.83459894707744
160	52.82995121669886
161	52.82569432008559
162	52.81346756116045
163	52.80034933009495
164	52.79695095987109
165	52.7893150775925
166	52.778017990637295
167	52.769148776512026
168	52.76517576372701
169	52.75776049423687
170	52.7418980509037
171	52.732330868269585
172	52.719125589002005
173	52.71085491855307
174	52.69570653646547
175	52.67988927251926
176	52.67040592137131
177	52.66258861413622
178	52.64935535699604
179	52.641619738778004
180	52.63475159286416
181	52.62247277828821
182	52.608083955991894
183	52.59573906919727
184	52.58554437361908
185	52.57326245747203
186	52.56314088427425
187	52.557233558725535
188	52.54639791492356
189	52.5402534847466
190	52.53088574863499
191	52.524876964595826
192	52.509173703742526
193	52.50194255814324
194	52.494880962515325
195	52.48073958595147
196	52.4758455864345
197	52.46844680089104
198	52.45096882446627
199	52.43009109517689
200	52.42415422193919
