sample	family_held_out	n_anchor_windows	nygc	replicate	nygc_18S_flat	replicate_18S_flat
NA12878	CEU	17	478.615	492.003	552.801	478.410
NA12891	CEU	17	535.079	533.185	607.420	541.472
NA12892	CEU	17	546.498	557.993	708.199	532.806
HG00512	CHS	16	381.002	390.613	425.877	296.492
HG00513	CHS	16	490.108	521.459	555.504	407.224
HG00514	CHS	16	560.867	557.824	649.539	438.573
HG00731	PUR	23	315.893	324.215	392.912	270.666
HG00732	PUR	23	685.354	724.035	810.822	600.094
HG00733	PUR	23	550.747	525.769	700.989	432.981
NA19238	YRI	21	500.230	516.998	602.553	440.687
NA19239	YRI	21	565.606	597.611	649.372	508.130
NA19240	YRI	21	520.866	511.650	633.521	432.501
