sample	18S, no GC model (published practice) [NYGC]	18S, no GC model (published practice) [replicate]	28S, no GC model [NYGC]	28S, no GC model [replicate]	all windows, no GC model [NYGC]	all windows, no GC model [replicate]	18S, fragment-GC model [NYGC]	18S, fragment-GC model [replicate]	28S, fragment-GC model [NYGC]	28S, fragment-GC model [replicate]	anchor windows, fragment-GC model (single-sample headline) [NYGC]	anchor windows, fragment-GC model (single-sample headline) [replicate]	calibrated, efficiencies learned per library [NYGC]	calibrated, efficiencies learned per library [replicate]	calibrated, NYGC efficiencies applied to the replicates [NYGC]	calibrated, NYGC efficiencies applied to the replicates [replicate]	rDNA5S, fragment-GC model [NYGC]	rDNA5S, fragment-GC model [replicate]	rDNA5S, no GC model [NYGC]	rDNA5S, no GC model [replicate]	DJ, fragment-GC model [NYGC]	DJ, fragment-GC model [replicate]
HG00512	425.877	296.492	385.382	258.304	404.776	234.636	385.733	543.524	323.288	500.020	383.840	314.895	381.181	326.495	381.181	348.805	200.563	164.140	242.248	80.274	9.499	9.614
HG00513	555.504	407.224	486.270	354.364	515.607	326.707	501.865	691.415	404.947	638.863	490.600	420.347	490.339	441.468	490.339	478.280	109.951	95.822	133.778	50.863	9.668	10.049
HG00514	649.539	438.573	584.279	384.025	609.592	353.378	576.247	738.814	472.125	685.077	566.746	453.949	561.130	469.571	561.130	508.328	197.389	161.193	247.383	86.997	9.669	9.957
HG00731	392.912	270.666	354.804	229.124	356.876	213.187	339.749	460.195	280.175	411.258	325.488	276.818	326.765	290.342	326.765	312.337	162.470	136.320	210.119	72.631	9.810	10.093
HG00732	810.822	600.094	666.198	509.935	740.079	476.176	712.590	1018.897	557.831	908.365	704.093	618.105	708.940	646.493	708.940	694.191	188.707	160.392	230.450	86.625	9.654	9.969
HG00733	700.989	432.981	639.063	377.972	640.491	342.094	583.923	760.941	473.038	690.572	567.963	446.690	569.704	470.617	569.704	512.175	193.631	154.413	263.593	80.239	9.677	9.961
NA12878	552.801	478.410	458.912	370.648	525.302	421.514	484.066	532.272	374.135	450.392	508.052	465.853	495.088	449.943	495.088	481.878	213.181	172.490	265.934	154.531	9.855	9.858
NA12891	607.420	541.472	504.563	426.945	574.778	461.570	551.095	592.407	429.709	494.379	566.655	488.287	553.495	475.489	553.495	505.102	218.414	172.285	263.230	164.720	9.805	9.654
NA12892	708.199	532.806	635.047	420.849	643.652	469.055	581.851	597.713	459.780	513.326	569.412	511.171	565.309	491.969	565.309	536.905	270.661	211.829	377.851	192.993	9.930	10.144
NA19238	602.553	440.687	503.617	387.661	533.036	351.454	534.175	714.565	415.970	639.235	501.604	439.422	504.162	459.180	504.162	497.988	130.762	112.875	160.992	65.027	9.895	10.056
NA19239	649.372	508.130	532.238	449.272	592.434	401.407	579.597	834.271	458.128	749.841	572.672	503.554	570.048	531.339	570.048	567.900	234.542	205.684	277.417	117.483	9.586	9.826
NA19240	633.521	432.501	568.033	379.490	580.905	340.275	534.908	721.925	433.207	644.012	522.826	430.424	524.959	454.239	524.959	484.220	202.921	161.775	270.522	90.689	9.708	10.009
