sample	sex	depth	insert	dup	gc65	auto	chrX	chrY	chrM	chrEBV	DJ	rDNA5S	rDNA45S_anchor	rDNA45S_cal	r18S_flat	r28S_18S
HG00512	M	38.3587	447	0.0915	1.1873	2.0024	0.9983	0.9743	722.0045	63.2023	9.4993	200.5633	383.8399	381.1806	425.8769	0.8381
HG00513	F	70.8643	439	0.1019	1.201	1.9985	1.9223	0.0023	719.6167	175.5411	9.6677	109.9511	490.6	490.3386	555.5042	0.8069
HG00514	F	37.6018	446	0.0982	1.2177	1.9978	1.9344	0.0013	958.5602	210.8072	9.669	197.3894	566.7459	561.1305	649.5392	0.8193
HG00731	M	35.717	415	0.1176	1.2725	1.9973	0.9912	0.9847	769.8586	54.8843	9.8101	162.4703	325.4884	326.765	392.9115	0.8247
HG00732	F	35.9282	438	0.0862	1.223	1.9977	1.6118	0.0025	839.7919	62.1561	9.6543	188.7067	704.0927	708.9397	810.8218	0.7828
HG00733	F	36.7731	440	0.0746	1.3193	1.9997	1.9147	0.0013	1067.5884	37.0124	9.6767	193.6309	567.9628	569.704	700.9889	0.8101
NA12878	F	37.3928	434	0.1078	1.257	2.0016	1.944	0.0029	849.7705	71.3803	9.8551	213.1814	508.0525	495.088	552.8011	0.7729
NA12891	M	38.0539	431	0.0612	1.2175	1.9985	0.9984	0.9779	2168.3654	377.739	9.8052	218.4139	566.6554	553.4955	607.4198	0.7797
NA12892	F	37.727	443	0.0703	1.3535	1.981	1.9097	0.002	1019.3344	278.0441	9.9303	270.661	569.4119	565.3085	708.1988	0.7902
NA19238	F	46.0087	428	0.0872	1.2295	1.9983	1.9746	0.0027	775.627	43.4777	9.8948	130.7621	501.6036	504.162	602.5533	0.7787
NA19239	M	35.9615	426	0.1113	1.198	1.991	0.9907	0.9808	861.4688	30.2954	9.5857	234.5418	572.6724	570.0482	649.372	0.7904
NA19240	F	35.7015	452	0.0706	1.3069	1.9932	1.9154	0.0016	983.7856	97.5325	9.7075	202.9211	522.826	524.9589	633.5209	0.8099
