assembly	array	contig	start	end	span	n_18S	n_28S	strand	mixed_strand	left	right	contig_len	n_periods	period_median	period_min	period_max	n_identical
HG01433_pat_hprc_r2_v1.0.1	HG01433#1#CM086491.1:3520456	HG01433#1#CM086491.1	3520456	3975109	454653	11	10	+	0	flank+DJ	flank	49666941	10.0	44877.5	44301.0	47350.0	0.0
HG01433_pat_hprc_r2_v1.0.1	HG01433#1#JBHDSJ010000007.1:37254	HG01433#1#JBHDSJ010000007.1	37254	83156	45902	2	1	+	0	contig_end	flank	102961344	1.0	44033.0	44033.0	44033.0	0.0
HG01433_pat_hprc_r2_v1.0.1	HG01433#1#JBHDSJ010000008.1:37352	HG01433#1#JBHDSJ010000008.1	37352	310243	272891	7	7	+	0	contig_end	flank	91052374	6.0	44891.5	44134.0	46440.0	0.0
HG01433_pat_hprc_r2_v1.0.1	HG01433#1#JBHDSJ010000013.1:24715	HG01433#1#JBHDSJ010000013.1	24715	432274	407559	10	9	+	0	contig_end	flank	98696287	9.0	44659.0	44064.0	49998.0	0.0
HG01433_pat_hprc_r2_v1.0.1	HG01433#1#JBHDSJ010000014.1:10283	HG01433#1#JBHDSJ010000014.1	10283	59509	49226	2	2	+	0	contig_end	contig_end	73353	1.0	47357.0	47357.0	47357.0	0.0
HG01433_pat_hprc_r2_v1.0.1	HG01433#1#JBHDSJ010000028.1:32110	HG01433#1#JBHDSJ010000028.1	32110	346785	314675	8	8	+	0	contig_end	contig_end	371298	7.0	44879.0	44152.0	44921.0	0.0
HG01433_pat_hprc_r2_v1.0.1	HG01433#1#JBHDSJ010000031.1:28038	HG01433#1#JBHDSJ010000031.1	28038	74296	46258	2	2	+	0	contig_end	contig_end	114313	1.0	44389.0	44389.0	44389.0	0.0
HG01433_pat_hprc_r2_v1.0.1	HG01433#1#JBHDSJ010000033.1:16425	HG01433#1#JBHDSJ010000033.1	16425	108058	91633	3	3	+	0	contig_end	contig_end	134658	2.0	44882.0	44866.0	44898.0	0.0
HG01433_pat_hprc_r2_v1.0.1	HG01433#1#JBHDSJ010000034.1:16119	HG01433#1#JBHDSJ010000034.1	16119	68120	52001	2	2	+	0	contig_end	contig_end	77265	1.0	50132.0	50132.0	50132.0	0.0
HG01433_pat_hprc_r2_v1.0.1	HG01433#1#JBHDSJ010000035.1:19299	HG01433#1#JBHDSJ010000035.1	19299	21168	1869	1	1	+	0	contig_end	contig_end	53655					
HG01433_pat_hprc_r2_v1.0.1	HG01433#1#JBHDSJ010000037.1:32347	HG01433#1#JBHDSJ010000037.1	32347	124840	92493	3	2	+	0	contig_end	gap	526161	2.0	45312.0	44228.0	46396.0	0.0
HG01433_pat_hprc_r2_v1.0.1	HG01433#1#JBHDSJ010000037.1:439437	HG01433#1#JBHDSJ010000037.1	439437	487743	48306	2	2	+	0	gap	contig_end	526161	1.0	46437.0	46437.0	46437.0	0.0
HG01433_pat_hprc_r2_v1.0.1	HG01433#1#JBHDSJ010000039.1:1555	HG01433#1#JBHDSJ010000039.1	1555	406971	405416	10	10	+	0	contig_end	contig_end	447708	9.0	44950.0	44159.0	44966.0	0.0
HG01433_pat_hprc_r2_v1.0.1	HG01433#1#JBHDSJ010000041.1:28674	HG01433#1#JBHDSJ010000041.1	28674	30543	1869	1	1	+	0	contig_end	contig_end	66530					
HG01433_pat_hprc_r2_v1.0.1	HG01433#1#JBHDSJ010000043.1:43408	HG01433#1#JBHDSJ010000043.1	43408	45277	1869	1	1	+	0	contig_end	contig_end	76130					
HG01433_pat_hprc_r2_v1.0.1	HG01433#1#JBHDSJ010000044.1:22988	HG01433#1#JBHDSJ010000044.1	22988	70173	47185	2	2	+	0	contig_end	contig_end	85728	1.0	45316.0	45316.0	45316.0	0.0
HG01433_pat_hprc_r2_v1.0.1	HG01433#1#JBHDSJ010000045.1:19822	HG01433#1#JBHDSJ010000045.1	19822	21691	1869	1	1	+	0	contig_end	contig_end	60319					
HG01433_pat_hprc_r2_v1.0.1	HG01433#1#JBHDSJ010000047.1:22508	HG01433#1#JBHDSJ010000047.1	22508	24377	1869	1	1	+	0	contig_end	contig_end	69571					
