sample	assembly_rDNA_Mb	longest_stretch_Mb	cn45	implied_Mb	fraction	mean_array_Mb
HG00097	10.527	0.634	569.7	25.54	0.412	2.55
HG00099	15.296	0.542	551.0	24.7	0.619	2.47
HG00126	9.852	0.85	544.8	24.43	0.403	2.44
HG00128	8.174	0.773	489.8	21.96	0.372	2.2
HG00133	7.472	0.6	340.1	15.25	0.49	1.52
HG00140	12.253	1.061	544.8	24.43	0.502	2.44
HG00146	10.499	0.63	486.3	21.8	0.482	2.18
HG00232	5.936	0.648	319.9	14.34	0.414	1.43
HG00235	7.613	0.515	445.1	19.96	0.381	2.0
HG00253	7.173	0.753	468.4	21.0	0.342	2.1
HG00272	10.823	0.766	491.9	22.06	0.491	2.21
HG00280	7.907	0.636	494.0	22.15	0.357	2.21
HG00290	12.556	1.106	609.7	27.34	0.459	2.73
HG00320	11.335	0.801	443.1	19.87	0.571	1.99
HG00321	10.039	0.925	508.2	22.79	0.441	2.28
HG00323	9.805	0.986	544.4	24.41	0.402	2.44
HG00329	7.264	0.582	313.3	14.05	0.517	1.4
HG00344	10.077	0.547	499.8	22.41	0.45	2.24
HG00350	9.087	0.898	549.4	24.63	0.369	2.46
HG00408	8.277	1.048	668.5	29.97	0.276	3.0
HG00423	5.489	0.492	362.6	16.26	0.338	1.63
HG00438	8.311	0.768	529.0	23.72	0.35	2.37
HG00544	6.683	0.593	340.0	15.25	0.438	1.52
HG00558	5.41	0.924	381.0	17.08	0.317	1.71
HG00597	6.612	0.506	637.1	28.57	0.231	2.86
HG00609	6.231	0.486	396.5	17.78	0.35	1.78
HG00621	7.807	0.825	603.9	27.08	0.288	2.71
HG00639	9.32	0.677	600.5	26.92	0.346	2.69
HG00642	5.265	0.583	348.5	15.62	0.337	1.56
HG00658	5.985	0.607	415.3	18.62	0.321	1.86
HG00673	4.768	0.745	380.4	17.06	0.28	1.71
HG00706	7.07	0.461	587.5	26.34	0.268	2.63
HG00735	4.701	0.409	346.2	15.52	0.303	1.55
HG00738	5.161	0.505	405.9	18.2	0.284	1.82
HG00741	7.377	0.665	484.9	21.74	0.339	2.17
HG01071	6.976	0.829	620.7	27.83	0.251	2.78
HG01074	8.842	0.762	489.9	21.97	0.403	2.2
HG01081	10.816	0.967	639.8	28.69	0.377	2.87
HG01099	5.624	0.887	378.8	16.99	0.331	1.7
HG01106	5.659	0.279	564.3	25.3	0.224	2.53
HG01150	9.287	0.941	424.2	19.02	0.488	1.9
HG01167	7.959	0.768	406.9	18.25	0.436	1.82
HG01175	4.707	0.76	363.8	16.31	0.289	1.63
HG01192	6.433	0.925	456.9	20.49	0.314	2.05
HG01252	8.484	0.626	569.2	25.52	0.332	2.55
