assembly_name	status	n_regions	bp_extracted	est_bytes_fetched	seconds	bp_rdna_censat	bp_acro_parm	bp_unplaced_rdna	bp_5S_locus	n_acro_contigs_taken	n_acro_contigs_skipped	n_orientation_reversed	n_orientation_conflict	sequence_refetched	unplaced_tilescan_added	n_unplaced_tilescan_added	5S_method	5S_contig	5S_core	5S_left	5S_right	notes
HG00408_pat_hprc_r2_v1.0.1	ok	41	88721737	19625506	29.6	78812324	82767797	3514047	827665	16	2	4	0	True	HG00408#1#JBHDVK010000047.1	1	chain_both_flanks	HG00408#1#JBHDVK010000007.1	89127323-89354988	HG00408#1#JBHDVK010000007.1:88969043-89127323(+,158201bp)	HG00408#1#JBHDVK010000007.1:89354988-89555365(+,199554bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (1 screened, 184945 bp)
HG00597_pat_hprc_r2_v1.0.1	ok	46	76674432	19230684	33.4	69124932	63408248	10893558	760398	11	1	2	1	True	HG00597#1#JBHDUU010000030.1,HG00597#1#JBHDUU010000059.1	2	chain_both_flanks	HG00597#1#CM085766.1	223538197-223698595	HG00597#1#CM085766.1:223379876-223538197(+,158213bp)	HG00597#1#CM085766.1:223698595-223898935(+,199443bp)	2 unplaced contig(s) without CenSat rDNA label added by tile screen (5 screened, 10367530 bp)
HG01192_pat_hprc_r2_v1.0.1	ok	46	94963287	22145139	1.0	79201299	85702362	6449344	796303	15	1	2	0	False		0	chain_both_flanks	HG01192#1#JBHDVI010000004.1	92440582-92636885	HG01192#1#JBHDVI010000004.1:92282253-92440582(+,158227bp)	HG01192#1#JBHDVI010000004.1:92636885-92837220(+,199502bp)	
HG01261_pat_hprc_r2_v1.0.1	ok	34	78132458	17734386	41.5	65278090	69914098	5451537	751546	11	2	3	0	True	HG01261#1#JBHDVG010000078.1	1	chain_both_flanks	HG01261#1#CM085906.1	222093090-222244636	HG01261#1#CM085906.1:221934762-222093090(+,158219bp)	HG01261#1#CM085906.1:222244636-222445018(+,199497bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (6 screened, 1153052 bp)
HG02015_pat_hprc_r2_v1.0.1	ok	67	93024639	22380364	33.4	79877764	79001415	11158153	849794	16	0	6	0	True	HG02015#1#JBHDVE010000077.1,HG02015#1#JBHDVE010000140.1,HG02015#1#JBHDVE010000141.1	3	chain_both_flanks	HG02015#1#CM085890.1	224279202-224528996	HG02015#1#CM085890.1:224120851-224279202(+,158240bp)	HG02015#1#CM085890.1:224528996-224728633(+,199585bp)	3 unplaced contig(s) without CenSat rDNA label added by tile screen (3 screened, 192028 bp)
HG02056_pat_hprc_r2_v1.0.1	ok	44	89579929	19980307	2.3	75777321	85135682	1681155	758328	20	0	9	0	False		0	chain_both_flanks	HG02056#1#CM085869.1	227957607-228115935	HG02056#1#CM085869.1:227799267-227957607(+,158237bp)	HG02056#1#CM085869.1:228115935-228315537(+,199511bp)	
HG02129_pat_hprc_r2_v1.0.1	ok	35	74769803	18222818	4.5	73269315	63911219	8133434	818475	14	2	4	0	False		0	chain_both_flanks	HG02129#1#JBHDVA010000006.1	95876877-96095352	HG02129#1#JBHDVA010000006.1:95718618-95876877(+,158178bp)	HG02129#1#JBHDVA010000006.1:96095352-96295036(+,199581bp)	
HG02258_pat_hprc_r2_v1.0.1	ok	30	102045015	22738802	1.1	75191016	98864999	426077	825411	19	1	6	0	False		0	chain_both_flanks	HG02258#1#CM085822.1	229411881-229637292	HG02258#1#CM085822.1:229253598-229411881(+,158189bp)	HG02258#1#CM085822.1:229637292-229837613(+,199503bp)	
HG03834_pat_hprc_r2_v1.0.1	ok	30	93351646	22404599	32.5	76381780	86277686	4759637	702095	16	2	2	1	True	HG03834#1#JBHDUW010000033.1	1	chain_both_flanks	HG03834#1#CM085793.1	224831688-224933783	HG03834#1#CM085793.1:224673336-224831688(+,158230bp)	HG03834#1#CM085793.1:224933783-225133455(+,199618bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (3 screened, 2534397 bp)
HG01975_pat_hprc_r2_v1.0.1	ok	36	77276862	17470239	0.5	76329538	70193984	4710220	760430	12	0	4	0	False		0	chain_both_flanks	HG01975#1#CM099795.1	224684783-224845213	HG01975#1#CM099795.1:224526452-224684783(+,158220bp)	HG01975#1#CM099795.1:224845213-225044825(+,199583bp)	
