assembly	array	contig	start	end	span	n_18S	n_28S	strand	mixed_strand	left	right	contig_len	n_periods	period_median	period_min	period_max	n_identical
NA21309_pat_hprc_r2_v1.0.1	NA21309#1#JAHEPC020000015.1:32461	NA21309#1#JAHEPC020000015.1	32461	347909	315448	8	7	+	0	contig_end	flank	98044206	7.0	44965.0	44316.0	45032.0	0.0
NA21309_pat_hprc_r2_v1.0.1	NA21309#1#JAHEPC020000017.1:39569	NA21309#1#JAHEPC020000017.1	39569	131741	92172	3	2	+	0	contig_end	flank	95995490	2.0	45151.5	45146.0	45157.0	0.0
NA21309_pat_hprc_r2_v1.0.1	NA21309#1#JAHEPC020000018.1:31663	NA21309#1#JAHEPC020000018.1	31663	303616	271953	7	6	+	0	contig_end	flank	4796034	6.0	44342.5	43956.0	48639.0	0.0
NA21309_pat_hprc_r2_v1.0.1	NA21309#1#JAHEPC020000022.1:27650	NA21309#1#JAHEPC020000022.1	27650	249468	221818	6	6	+	0	contig_end	contig_end	276743	5.0	45021.0	39876.0	45026.0	0.0
NA21309_pat_hprc_r2_v1.0.1	NA21309#1#JAHEPC020000027.1:18729	NA21309#1#JAHEPC020000027.1	18729	65507	46778	2	2	+	0	contig_end	contig_end	81187	1.0	44909.0	44909.0	44909.0	0.0
NA21309_pat_hprc_r2_v1.0.1	NA21309#1#JAHEPC020000029.1:36191	NA21309#1#JAHEPC020000029.1	36191	38060	1869	1	1	+	0	contig_end	contig_end	66005					
NA21309_pat_hprc_r2_v1.0.1	NA21309#1#JAHEPC020000031.1:38776	NA21309#1#JAHEPC020000031.1	38776	40645	1869	1	1	+	0	contig_end	contig_end	80086					
NA21309_pat_hprc_r2_v1.0.1	NA21309#1#JAHEPC020000033.1:39479	NA21309#1#JAHEPC020000033.1	39479	85513	46034	2	2	+	0	contig_end	contig_end	95334	1.0	44165.0	44165.0	44165.0	0.0
NA21309_pat_hprc_r2_v1.0.1	NA21309#1#JAHEPC020000034.1:14337	NA21309#1#JAHEPC020000034.1	14337	60360	46023	2	2	+	0	contig_end	contig_end	74352	1.0	44154.0	44154.0	44154.0	0.0
NA21309_pat_hprc_r2_v1.0.1	NA21309#1#JAHEPC020000036.1:34902	NA21309#1#JAHEPC020000036.1	34902	36771	1869	1	1	+	0	contig_end	contig_end	65728					
NA21309_pat_hprc_r2_v1.0.1	NA21309#1#JAHEPC020000038.1:32794	NA21309#1#JAHEPC020000038.1	32794	34663	1869	1	1	+	0	contig_end	contig_end	56985					
NA21309_pat_hprc_r2_v1.0.1	NA21309#1#JAHEPC020000050.1:1535117	NA21309#1#JAHEPC020000050.1	1535117	1760807	225690	6	6	+	0	flank+DJ	flank	43487776	5.0	44883.0	44422.0	44982.0	0.0
NA21309_pat_hprc_r2_v1.0.1	NA21309#1#JAHEPC020000052.1:3787371	NA21309#1#JAHEPC020000052.1	3787371	3834649	47278	2	1	+	0	flank+DJ	flank	11357894	1.0	45409.0	45409.0	45409.0	0.0
NA21309_pat_hprc_r2_v1.0.1	NA21309#1#JAHEPC020000059.1:4275904	NA21309#1#JAHEPC020000059.1	4275904	4277773	1869	1	1	+	0	flank+DJ	contig_end	4307161					
NA21309_pat_hprc_r2_v1.0.1	NA21309#1#JAHEPC020000060.1:1185	NA21309#1#JAHEPC020000060.1	1185	321106	319921	8	8	+	0	contig_end	contig_end	362269	7.0	44983.0	44889.0	46104.0	0.0
NA21309_pat_hprc_r2_v1.0.1	NA21309#1#JAHEPC020000062.1:1252559	NA21309#1#JAHEPC020000062.1	1252559	1343779	91220	3	3	+	0	flank+DJ	contig_end	1364671	2.0	44675.5	44349.0	45002.0	0.0
NA21309_pat_hprc_r2_v1.0.1	NA21309#1#JAHEPC020000065.1:2886581	NA21309#1#JAHEPC020000065.1	2886581	2888450	1869	1	1	+	0	flank+DJ	contig_end	2908381					
NA21309_pat_hprc_r2_v1.0.1	NA21309#1#JAHEPC020000067.1:37838	NA21309#1#JAHEPC020000067.1	37838	261347	223509	6	6	+	0	contig_end	contig_end	290159	5.0	44341.0	44281.0	44345.0	0.0
NA21309_pat_hprc_r2_v1.0.1	NA21309#1#JAHEPC020000078.1:2287	NA21309#1#JAHEPC020000078.1	2287	233574	231287	6	6	+	0	contig_end	contig_end	264977	5.0	46110.0	44229.0	46827.0	0.0
NA21309_pat_hprc_r2_v1.0.1	NA21309#1#JAHEPC020000080.1:22563	NA21309#1#JAHEPC020000080.1	22563	247367	224804	6	6	+	0	contig_end	contig_end	274153	5.0	44353.0	44262.0	45013.0	0.0
NA21309_pat_hprc_r2_v1.0.1	NA21309#1#JAHEPC020000085.1:33975	NA21309#1#JAHEPC020000085.1	33975	215208	181233	5	5	+	0	contig_end	contig_end	236567	4.0	45003.5	44333.0	45024.0	0.0
NA21309_pat_hprc_r2_v1.0.1	NA21309#1#JAHEPC020000088.1:34251	NA21309#1#JAHEPC020000088.1	34251	36120	1869	1	1	+	0	contig_end	contig_end	67423					
NA21309_pat_hprc_r2_v1.0.1	NA21309#1#JAHEPC020000093.1:3559	NA21309#1#JAHEPC020000093.1	3559	49551	45992	2	2	+	0	contig_end	contig_end	68863	1.0	44123.0	44123.0	44123.0	0.0
NA21309_pat_hprc_r2_v1.0.1	NA21309#1#JAHEPC020000094.1:30258	NA21309#1#JAHEPC020000094.1	30258	32127	1869	1	1	+	0	contig_end	contig_end	59779					
