assembly	array	contig	start	end	span	n_18S	n_28S	strand	mixed_strand	left	right	contig_len	n_periods	period_median	period_min	period_max	n_identical
HG00423_mat_hprc_r2_v1.0.1	HG00423#2#CM089425.1:3830690	HG00423#2#CM089425.1	3830690	3905807	75117	2	2	+	0	flank+DJ	flank	51314386	1.0	73248.0	73248.0	73248.0	0.0
HG00423_mat_hprc_r2_v1.0.1	HG00423#2#JBHIIP010000016.1:7979	HG00423#2#JBHIIP010000016.1	7979	100665	92686	3	2	+	0	contig_end	flank	98671325	2.0	45408.5	44979.0	45838.0	0.0
HG00423_mat_hprc_r2_v1.0.1	HG00423#2#JBHIIP010000017.1:21402	HG00423#2#JBHIIP010000017.1	21402	202409	181007	5	4	+	0	contig_end	flank	99061667	4.0	44969.0	44179.0	45021.0	0.0
HG00423_mat_hprc_r2_v1.0.1	HG00423#2#JBHIIP010000018.1:8078	HG00423#2#JBHIIP010000018.1	8078	94442	86364	3	2	+	0	contig_end	flank	104999651	2.0	42247.5	40423.0	44072.0	0.0
HG00423_mat_hprc_r2_v1.0.1	HG00423#2#JBHIIP010000023.1:1390	HG00423#2#JBHIIP010000023.1	1390	270118	268728	7	7	+	0	contig_end	contig_end	285009	6.0	45028.5	40485.0	45787.0	0.0
HG00423_mat_hprc_r2_v1.0.1	HG00423#2#JBHIIP010000025.1:0	HG00423#2#JBHIIP010000025.1	0	223287	223287	6	6	+	0	contig_end	contig_end	234395	5.0	45054.0	40275.0	45777.0	0.0
HG00423_mat_hprc_r2_v1.0.1	HG00423#2#JBHIIP010000033.1:39683	HG00423#2#JBHIIP010000033.1	39683	41552	1869	1	1	+	0	contig_end	contig_end	58273					
HG00423_mat_hprc_r2_v1.0.1	HG00423#2#JBHIIP010000036.1:31639	HG00423#2#JBHIIP010000036.1	31639	78430	46791	2	1	+	0	contig_end	contig_end	78430	1.0	44987.0	44987.0	44987.0	0.0
HG00423_mat_hprc_r2_v1.0.1	HG00423#2#JBHIIP010000037.1:26783	HG00423#2#JBHIIP010000037.1	26783	226258	199475	5	5	+	0	contig_end	gap	458311	4.0	45064.5	44890.0	62587.0	0.0
HG00423_mat_hprc_r2_v1.0.1	HG00423#2#JBHIIP010000037.1:350249	HG00423#2#JBHIIP010000037.1	350249	441265	91016	3	3	+	0	gap	contig_end	458311	2.0	44573.5	44221.0	44926.0	0.0
