metric	n	r	r_lo	r_hi	spearman	slope	ratio_median	q10	q90	sd_log	identical	label	R_scan	R_scan_lo	R_scan_hi	R_fetch	R_fetch_lo	R_fetch_hi	r_mid_scan	r_mid_fetch
rDNA45S.cn	1259	0.9999991394312903	0.9999988830417522	0.9999991047113929	0.9999974985163979	1.0000625578316646	1.000022049744223	0.999756317054633	1.0002787848224601	0.0002919081923495544	False	45S, NGS-DOSE calibrated	1.0735349353264625	0.9303287557988552	1.21421486856658	1.0735229323242683	0.9305125893982352	1.2143177045856526	0.7715950926325663	0.7717183507987984
rDNA45S.cn_single	1259	0.9999997694969173	0.9999988830417522	0.9999991047113929	0.9999985808891102	0.9997244344135856	0.9996823941220545	0.9994069434462004	0.9997921322650825	0.00015476362210915906	False	45S, NGS-DOSE single-sample	1.0541372335766512	0.9127439583226069	1.198683170740233	1.0542530239344015	0.9128521578796388	1.1987843832957679	0.7686424859624769	0.7686870698593605
rDNA45S.18S.flat	1259	0.9999999950984082	0.9999988830417522	0.9999991047113929	0.9999998857495469	0.9999802466781046	0.9999796280074155	0.9999451372095123	1.0	2.361547010203377e-05	False	45S, 18S depth ratio (published)	1.0608771538136248	0.9123719273323085	1.2024196364766053	1.0608887484193876	0.9123919447762717	1.2024344585363134	0.7512848764175291	0.7512875761003273
rDNA5S.cn	1259	0.9999996932598539	0.9999988830417522	0.9999991047113929	0.9999985568363834	0.999884687885344	0.9998948032821375	0.9996372331713018	1.0001142718367655	0.00019740139874556845	False	5S, NGS-DOSE calibrated	0.8991917097123048	0.6554829599850742	1.1270238168024957	0.8993579963700576	0.6557106006099972	1.12735090261147	0.6220245235265724	0.622063184175205
truth.auto	1259	0.9999999999999998	0.9999988830417522	0.9999991047113929	0.9999999999999999	1.0000000000000022	1.0	1.0	1.0	0.0	True	held-out autosomal (2)	-0.05519960509111592	-0.26299206833350436	0.16025613291380283	-0.05519960509111592	-0.26299206833350436	0.16025613291380283	-0.040767818270239425	-0.040767818270239425
DJ.cn	1259	0.9998143865961896	0.9997926798159459	0.9998338208280264	0.9990492798884145	0.9993517567271335	0.9968619246861924	0.9958027282266527	0.9971014492753624	0.0006856655655377623	False	distal junction (10)	0.7740282904047764	0.47111760548828313	1.061810347235004	0.7725155638877368	0.4696458356818487	1.0604821490181142	0.5436536439118996	0.5429470931941713
chrM.copies	1259	1.0	0.9999988830417522	0.9999991047113929	0.9999999999999999	1.0000000000000002	1.0	1.0	1.0	0.0	True	mitochondrial genomes per cell	0.1128254967042981	-0.09987413554264347	0.33128608521869224	0.1128254967042981	-0.09987413554264347	0.33128608521869224	0.13311959045524632	0.13311959045524632
chrEBV.copies	1259	1.0	0.9999988830417522	0.9999991047113929	0.9999999999999999	0.9999999999999994	1.0	1.0	1.0	0.0	True	EBV episomes per cell	0.29668963188817876	-0.36926617831787717	1.2309355545377136	0.29668963188817876	-0.36926617831787717	1.2309355545377136	0.2683801487262719	0.2683801487262719
depth	1259	1.0	0.9999988830417522	0.9999991047113929	0.9999999999999999	1.0000000000000004	1.0	1.0	1.0	0.0	True	sequencing depth	-0.05194136099418201	-0.1971983624741572	0.07118488846152711	-0.05194136099418201	-0.1971983624741572	0.07118488846152711	-0.07906323115373286	-0.07906323115373286
ctrl_dup_frac	1259	1.0	0.9999988830417522	0.9999991047113929	0.9999999999999999	1.0000000000000002	1.0	1.0	1.0	0.0	True	duplicate-flagged fraction	0.16085493572555004	-0.2828322559344139	0.5592172626987275	0.16085493572555004	-0.2828322559344139	0.5592172626987275	0.11214459375463477	0.11214459375463477
gc_rel_65	1259	1.0	0.9999988830417522	0.9999991047113929	0.9999999999999999	0.999999999999999	1.0	1.0	1.0	0.0	True	library GC bias	-0.034508728269207006	-0.30978974436320955	0.24404365882590007	-0.034508728269207006	-0.30978974436320955	0.24404365882590007	0.05690780561926886	0.05690780561926886
insert_median	1259	1.0	0.9999988830417522	0.9999991047113929	0.9999999999999999	0.9999999999999997	1.0	1.0	1.0	0.0	True	insert size	-0.5807905597393124	-0.7734818977450945	-0.38239940929852045	-0.5807905597393124	-0.7734818977450945	-0.38239940929852045	-0.22259590701030543	-0.22259590701030543
truth.chrX	1259	1.0	0.9999988830417522	0.9999991047113929	0.9999999999999999	0.9999999999999998	1.0	1.0	1.0	0.0	True	chrX	NA	NA	NA	NA	NA	NA	NA	NA
truth.chrY	1259	0.9999999999999999	0.9999988830417522	0.9999991047113929	0.9999999999999999	0.9999999999999992	1.0	1.0	1.0	0.0	True	chrY	NA	NA	NA	NA	NA	NA	NA	NA
