assembly	array	contig	start	end	span	n_18S	n_28S	strand	mixed_strand	left	right	contig_len	n_periods	period_median	period_min	period_max	n_identical
NA19240_mat_hprc_r2_v1.0.1	NA19240#2#JAHEOL020000001.1:36817	NA19240#2#JAHEOL020000001.1	36817	38686	1869	1	1	+	0	contig_end	flank	93624631					
NA19240_mat_hprc_r2_v1.0.1	NA19240#2#JAHEOL020000005.1:31457	NA19240#2#JAHEOL020000005.1	31457	342070	310613	8	8	+	0	contig_end	flank	97546083	7.0	44211.0	43427.0	44953.0	0.0
NA19240_mat_hprc_r2_v1.0.1	NA19240#2#JAHEOL020000013.1:2234215	NA19240#2#JAHEOL020000013.1	2234215	2460695	226480	6	5	+	0	flank+DJ	flank	44230454	5.0	44727.0	44237.0	45490.0	0.0
NA19240_mat_hprc_r2_v1.0.1	NA19240#2#JAHEOL020000017.1:40434	NA19240#2#JAHEOL020000017.1	40434	86549	46115	2	1	+	0	contig_end	contig_end	93234	1.0	44246.0	44246.0	44246.0	0.0
NA19240_mat_hprc_r2_v1.0.1	NA19240#2#JAHEOL020000018.1:31317	NA19240#2#JAHEOL020000018.1	31317	213258	181941	5	5	+	0	contig_end	contig_end	223806	4.0	45019.0	45011.0	45023.0	0.0
NA19240_mat_hprc_r2_v1.0.1	NA19240#2#JAHEOL020000024.1:29029	NA19240#2#JAHEOL020000024.1	29029	30898	1869	1	1	+	0	contig_end	contig_end	51216					
NA19240_mat_hprc_r2_v1.0.1	NA19240#2#JAHEOL020000026.1:30473	NA19240#2#JAHEOL020000026.1	30473	32342	1869	1	1	+	0	contig_end	contig_end	51504					
NA19240_mat_hprc_r2_v1.0.1	NA19240#2#JAHEOL020000037.1:964171	NA19240#2#JAHEOL020000037.1	964171	1273664	309493	8	7	+	0	flank+DJ	flank	46798272	7.0	44184.0	40418.0	44942.0	0.0
NA19240_mat_hprc_r2_v1.0.1	NA19240#2#JAHEOL020000039.1:2975036	NA19240#2#JAHEOL020000039.1	2975036	3152389	177353	5	4	+	0	flank+DJ	flank	5943590	4.0	43814.5	43809.0	44046.0	0.0
NA19240_mat_hprc_r2_v1.0.1	NA19240#2#JAHEOL020000042.1:2686879	NA19240#2#JAHEOL020000042.1	2686879	2688748	1869	1	1	+	0	flank+DJ	contig_end	2713945					
NA19240_mat_hprc_r2_v1.0.1	NA19240#2#JAHEOL020000043.1:2936717	NA19240#2#JAHEOL020000043.1	2936717	2983546	46829	2	2	+	0	flank+DJ	contig_end	2999134	1.0	44960.0	44960.0	44960.0	0.0
NA19240_mat_hprc_r2_v1.0.1	NA19240#2#JAHEOL020000046.1:34935	NA19240#2#JAHEOL020000046.1	34935	36804	1869	1	1	+	0	contig_end	contig_end	74101					
NA19240_mat_hprc_r2_v1.0.1	NA19240#2#JAHEOL020000047.1:13034	NA19240#2#JAHEOL020000047.1	13034	193278	180244	5	5	+	0	contig_end	contig_end	228907	4.0	44582.0	44239.0	44972.0	0.0
NA19240_mat_hprc_r2_v1.0.1	NA19240#2#JAHEOL020000049.1:32032	NA19240#2#JAHEOL020000049.1	32032	256884	224852	6	6	+	0	contig_end	contig_end	268176	5.0	44471.0	44377.0	44890.0	0.0
NA19240_mat_hprc_r2_v1.0.1	NA19240#2#JAHEOL020000050.1:233	NA19240#2#JAHEOL020000050.1	233	46327	46094	2	2	+	0	contig_end	contig_end	59214	1.0	44225.0	44225.0	44225.0	0.0
NA19240_mat_hprc_r2_v1.0.1	NA19240#2#JAHEOL020000054.1:41193	NA19240#2#JAHEOL020000054.1	41193	88008	46815	2	1	+	0	contig_end	contig_end	89866	1.0	44946.0	44946.0	44946.0	0.0
NA19240_mat_hprc_r2_v1.0.1	NA19240#2#JAHEOL020000055.1:41905	NA19240#2#JAHEOL020000055.1	41905	43774	1869	1	1	+	0	contig_end	contig_end	79007					
NA19240_mat_hprc_r2_v1.0.1	NA19240#2#JAHEOL020000056.1:38243	NA19240#2#JAHEOL020000056.1	38243	40112	1869	1	1	+	0	contig_end	contig_end	63835					
NA19240_mat_hprc_r2_v1.0.1	NA19240#2#JAHEOL020000057.1:5093	NA19240#2#JAHEOL020000057.1	5093	141197	136104	4	4	+	0	contig_end	contig_end	159803	3.0	45005.0	44224.0	45006.0	0.0
NA19240_mat_hprc_r2_v1.0.1	NA19240#2#JAHEOL020000060.1:31273	NA19240#2#JAHEOL020000060.1	31273	76958	45685	2	2	+	0	contig_end	contig_end	87628	1.0	43816.0	43816.0	43816.0	0.0
NA19240_mat_hprc_r2_v1.0.1	NA19240#2#JAHEOL020000061.1:14251	NA19240#2#JAHEOL020000061.1	14251	61144	46893	2	2	+	0	contig_end	contig_end	87649	1.0	45024.0	45024.0	45024.0	0.0
NA19240_mat_hprc_r2_v1.0.1	NA19240#2#JAHEOL020000064.1:40178	NA19240#2#JAHEOL020000064.1	40178	42047	1869	1	1	+	0	contig_end	contig_end	63421					
