assembly	array	contig	start	end	span	n_18S	n_28S	strand	mixed_strand	left	right	contig_len	n_periods	period_median	period_min	period_max	n_identical
HG02155_hap2_hprc_r2_v1.0.1	HG02155#2#CM091929.1:2673922	HG02155#2#CM091929.1	2673922	2855643	181721	5	5	+	0	flank+DJ	flank	100554056	4.0	44977.0	44886.0	45012.0	0.0
HG02155_hap2_hprc_r2_v1.0.1	HG02155#2#JBIECC010000002.1:23113	HG02155#2#JBIECC010000002.1	23113	289590	266477	7	6	+	0	contig_end	flank	8106576	6.0	44794.5	40460.0	44903.0	0.0
HG02155_hap2_hprc_r2_v1.0.1	HG02155#2#JBIECC010000005.1:6127	HG02155#2#JBIECC010000005.1	6127	761717	755590	18	17	+	0	contig_end	flank	45982465	17.0	44212.0	43551.0	44930.0	0.0
HG02155_hap2_hprc_r2_v1.0.1	HG02155#2#JBIECC010000016.1:35490	HG02155#2#JBIECC010000016.1	35490	532741	497251	12	12	+	0	contig_end	flank	6232306	11.0	44869.0	44738.0	46140.0	0.0
HG02155_hap2_hprc_r2_v1.0.1	HG02155#2#JBIECC010000019.1:118277	HG02155#2#JBIECC010000019.1	118277	206402	88125	3	3	+	0	gap	gap	1269504	2.0	43128.0	41185.0	45071.0	0.0
HG02155_hap2_hprc_r2_v1.0.1	HG02155#2#JBIECC010000019.1:429668	HG02155#2#JBIECC010000019.1	429668	1238999	809331	19	19	+	0	gap	contig_end	1269504	18.0	45002.0	43784.0	45525.0	0.0
HG02155_hap2_hprc_r2_v1.0.1	HG02155#2#JBIECC010000020.1:32771	HG02155#2#JBIECC010000020.1	32771	34640	1869	1	1	+	0	contig_end	contig_end	65338					
HG02155_hap2_hprc_r2_v1.0.1	HG02155#2#JBIECC010000022.1:42707	HG02155#2#JBIECC010000022.1	42707	88946	46239	2	2	+	0	contig_end	contig_end	133110	1.0	44370.0	44370.0	44370.0	0.0
HG02155_hap2_hprc_r2_v1.0.1	HG02155#2#JBIECC010000023.1:23784	HG02155#2#JBIECC010000023.1	23784	205180	181396	5	5	+	0	contig_end	contig_end	215455	4.0	44726.5	44663.0	45414.0	0.0
HG02155_hap2_hprc_r2_v1.0.1	HG02155#2#JBIECC010000024.1:44807	HG02155#2#JBIECC010000024.1	44807	92097	47290	2	2	+	0	contig_end	contig_end	110586	1.0	45421.0	45421.0	45421.0	0.0
HG02155_hap2_hprc_r2_v1.0.1	HG02155#2#JBIECC010000025.1:32650	HG02155#2#JBIECC010000025.1	32650	78553	45903	2	2	+	0	contig_end	contig_end	89581	1.0	44034.0	44034.0	44034.0	0.0
HG02155_hap2_hprc_r2_v1.0.1	HG02155#2#JBIECC010000027.1:23294	HG02155#2#JBIECC010000027.1	23294	69948	46654	2	2	+	0	contig_end	contig_end	89586	1.0	44785.0	44785.0	44785.0	0.0
HG02155_hap2_hprc_r2_v1.0.1	HG02155#2#JBIECC010000029.1:37056	HG02155#2#JBIECC010000029.1	37056	128668	91612	3	3	+	0	contig_end	contig_end	141461	2.0	44871.5	44855.0	44888.0	0.0
HG02155_hap2_hprc_r2_v1.0.1	HG02155#2#JBIECC010000031.1:24400	HG02155#2#JBIECC010000031.1	24400	26269	1869	1	1	+	0	contig_end	contig_end	63397					
HG02155_hap2_hprc_r2_v1.0.1	HG02155#2#JBIECC010000036.1:12320	HG02155#2#JBIECC010000036.1	12320	59218	46898	2	2	+	0	contig_end	contig_end	78196	1.0	45029.0	45029.0	45029.0	0.0
HG02155_hap2_hprc_r2_v1.0.1	HG02155#2#JBIECC010000037.1:1266	HG02155#2#JBIECC010000037.1	1266	48022	46756	2	2	+	0	contig_end	contig_end	92051	1.0	44887.0	44887.0	44887.0	0.0
HG02155_hap2_hprc_r2_v1.0.1	HG02155#2#JBIECC010000055.1:4806067	HG02155#2#JBIECC010000055.1	4806067	5589946	783879	19	18	+	0	flank+DJ	flank	6771643	18.0	43551.0	41229.0	45769.0	0.0
HG02155_hap2_hprc_r2_v1.0.1	HG02155#2#JBIECC010000056.1:3652451	HG02155#2#JBIECC010000056.1	3652451	3654320	1869	1	1	+	0	flank+DJ	contig_end	3690875					
HG02155_hap2_hprc_r2_v1.0.1	HG02155#2#JBIECC010000057.1:2500366	HG02155#2#JBIECC010000057.1	2500366	2748985	248619	7	7	+	0	flank+DJ	contig_end	2778058	6.0	41250.0	40495.0	41255.0	0.0
HG02155_hap2_hprc_r2_v1.0.1	HG02155#2#JBIECC010000058.1:8514	HG02155#2#JBIECC010000058.1	8514	144785	136271	4	4	+	0	contig_end	contig_end	182754	3.0	44795.0	44792.0	44815.0	0.0
HG02155_hap2_hprc_r2_v1.0.1	HG02155#2#JBIECC010000063.1:32166	HG02155#2#JBIECC010000063.1	32166	34035	1869	1	1	+	0	contig_end	contig_end	69149					
HG02155_hap2_hprc_r2_v1.0.1	HG02155#2#JBIECC010000066.1:23806	HG02155#2#JBIECC010000066.1	23806	70543	46737	2	1	+	0	contig_end	contig_end	75625	1.0	44868.0	44868.0	44868.0	0.0
HG02155_hap2_hprc_r2_v1.0.1	HG02155#2#JBIECC010000069.1:37233	HG02155#2#JBIECC010000069.1	37233	263230	225997	6	6	+	0	contig_end	contig_end	288909	5.0	45097.0	43684.0	45137.0	0.0
HG02155_hap2_hprc_r2_v1.0.1	HG02155#2#JBIECC010000071.1:26921	HG02155#2#JBIECC010000071.1	26921	118492	91571	3	3	+	0	contig_end	contig_end	134576	2.0	44851.0	44844.0	44858.0	0.0
HG02155_hap2_hprc_r2_v1.0.1	HG02155#2#JBIECC010000073.1:7065	HG02155#2#JBIECC010000073.1	7065	53681	46616	2	2	+	0	contig_end	contig_end	91380	1.0	44747.0	44747.0	44747.0	0.0
HG02155_hap2_hprc_r2_v1.0.1	HG02155#2#JBIECC010000074.1:31859	HG02155#2#JBIECC010000074.1	31859	210719	178860	5	5	+	0	contig_end	contig_end	227799	4.0	44083.5	44015.0	44809.0	0.0
HG02155_hap2_hprc_r2_v1.0.1	HG02155#2#JBIECC010000078.1:41061	HG02155#2#JBIECC010000078.1	41061	152018	110957	3	3	+	0	contig_end	contig_end	173645	2.0	54544.0	44899.0	64189.0	0.0
HG02155_hap2_hprc_r2_v1.0.1	HG02155#2#JBIECC010000081.1:36255	HG02155#2#JBIECC010000081.1	36255	38124	1869	1	1	+	0	contig_end	contig_end	58819					
