sample	haplotype	hap_index	assembly_name	method	version	phasing	source	total_length	n_contigs	censat_rdna_n	censat_rdna_bp	chr13_contigs	chr13_t2t	chr13_gaps	chr13_n_random	chr13_rdna_bp	chr14_contigs	chr14_t2t	chr14_gaps	chr14_n_random	chr14_rdna_bp	chr15_contigs	chr15_t2t	chr15_gaps	chr15_n_random	chr15_rdna_bp	chr21_contigs	chr21_t2t	chr21_gaps	chr21_n_random	chr21_rdna_bp	chr22_contigs	chr22_t2t	chr22_gaps	chr22_n_random	chr22_rdna_bp	unplaced_rdna_bp	censat_source	missing_files	notes
HG00408	pat	1	HG00408_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3055608753	112	44.0	3571566.0				3	96457				8	553679				1	1038854				2	225938				4	107001	1345950	local:hprc_censat		
HG00597	pat	1	HG00597_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3027440921	81	54.0	3144939.0				1	508957				3	214693				1	198385				4	436034				3	151425	1623217	local:hprc_censat		
HG01192	pat	1	HG01192_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	2916291803	100	48.0	3578339.0				3	735387				6	150909				2	202700				2	283300				3	195514	1995251	local:hprc_censat		
HG01261	pat	1	HG01261_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	2918687843	82	39.0	4116026.0				3	190961				3	445925				3	206065				2	322823	HG01261#1#CM085913.1	contig	0	1	754463	2180512	local:hprc_censat		
HG02015	pat	1	HG02015_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	2908671283	172	69.0	4804615.0				1	143000				2	63419				3	341249				2	61611				8	1125929	2912238	local:hprc_censat		
HG02056	pat	1	HG02056_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	2943966799	89	47.0	4107268.0				3	0				4	586878				1	108880	HG02056#1#CM085880.1	contig	0	6	1635180				5	687029	1074024	local:hprc_censat		
HG02129	pat	1	HG02129_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	2942439609	106	38.0	3601219.0				2	316238				4	463311				4	416936				2	333387				4	114290	1941780	local:hprc_censat		
HG02258	pat	1	HG02258_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	2940836153	73	32.0	3771273.0				6	776215				4	382929				2	918349				3	661994				5	773750	242760	local:hprc_censat		
HG03834	pat	1	HG03834_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3042936088	87	31.0	4017789.0	HG03834#1#CM085803.1	contig	0	0	648129				6	239173				3	287613				3	788401	HG03834#1#CM085807.1	contig	0	4	555025	1487220	local:hprc_censat		
HG01975	pat	1	HG01975_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3019161849	88	42.0	2957851.0				1	323068				3	389041				2	377874				2	237424				4	485159	1133057	local:hprc_censat		
HG02602	pat	1	HG02602_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2948871118	100	36.0	2295789.0	HG02602#1#CM099693.1	contig	0	0	379592				3	113321				6	629684				3	99194	HG02602#1#CM099697.1	scaffold	1	2	249278	809444	local:hprc_censat		
HG04187	pat	1	HG04187_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2916304162	112	66.0	5349374.0				3	246474				3	474645				2	681688				2	255585				10	760601	2915104	local:hprc_censat		
NA18879	hap1	1	NA18879_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2957105898	92	42.0	5611011.0				4	188634	NA18879#1#CM099721.1	contig	0	6	1451840	NA18879#1#CM099722.1	scaffold	1	5	927886				2	819033				3	816417	1391925	local:hprc_censat		
NA20752	hap1	1	NA20752_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2918542776	78	53.0	5171828.0				3	3078	NA20752#1#CM099776.1	scaffold	1	6	1904791				1	11993				2	716666				5	986807	1536276	local:hprc_censat		
HG02145	pat	1	HG02145_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2937451479	152	60.0	3836664.0				1	54668				8	620469				3	115865				4	661971				5	568796	1802679	s3:working/HPRC_PLUS/HG02145/assemblies/release2/annotation/censat/HG02145_pat_hprc_r2_v1.0.1.cenSat.bed		
HG00609	pat	1	HG00609_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	2934102778	94	52.0	3236333.0				2	91297				6	1047785				3	17262				2	52256				3	765986	1246470	local:hprc_censat		
HG00642	pat	1	HG00642_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	2907467825	69	40.0	1725663.0				1	56564				4	193901				2	241723				5	375864				1	45200	797134	local:hprc_censat		
HG00738	pat	1	HG00738_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	2915362507	93	46.0	2796326.0				3	286068	HG00738#1#CM086652.1	scaffold	3	2	484115				2	205708				2	91564				3	202137	1511457	local:hprc_censat		
HG01099	pat	1	HG01099_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	2919563000	80	41.0	3513078.0				4	143374				6	77995				4	65533				2	1211151				1	271232	1728516	local:hprc_censat		
HG01255	pat	1	HG01255_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	2929644872	92	48.0	4814371.0				1	262678				6	954880				2	11994				1	0				4	1137079	2432463	local:hprc_censat		
HG01346	pat	1	HG01346_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3045913237	91	47.0	4170173.0				1	316313				6	1737834				2	240590				1	140488	HG01346#1#CM086596.1	scaffold	2	3	445512	1240047	local:hprc_censat		
HG01433	pat	1	HG01433_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	2963613904	100	53.0	4773923.0				1	54102				3	421853				3	474296				7	1133776	HG01433#1#CM086491.1	contig	0	6	988039	1686580	local:hprc_censat		
HG01496	pat	1	HG01496_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3050536339	105	44.0	4589200.0				2	266888				8	790206				2	653926				1	323591				2	175361	1810528	local:hprc_censat		
HG01884	pat	1	HG01884_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3040759426	89	56.0	4186981.0				4	0				4	608410				2	107236				7	901752	HG01884#1#CM086416.1	scaffold	1	2	614129	1943226	local:hprc_censat		
HG01981	pat	1	HG01981_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3048266136	79	47.0	4371246.0				1	181855				5	1011809				2	11993				1	733930				5	249562	2169869	local:hprc_censat		
HG01993	pat	1	HG01993_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3040466643	73	43.0	4534819.0				2	100046				4	9176				4	467864				6	948869	HG01993#1#CM086505.1	scaffold	1	4	1289073	1707563	local:hprc_censat		
HG02004	pat	1	HG02004_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3030521506	88	43.0	3172442.0				1	3078				4	825217				1	106267				4	336492				6	753173	1135987	local:hprc_censat		
HG02027	pat	1	HG02027_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	2965356762	205	38.0	3177992.0				1	145813				5	596550				2	13234				2	826940				6	281626	1298552	local:hprc_censat		
HG02083	pat	1	HG02083_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	2949481628	75	43.0	5302008.0				2	459568	HG02083#1#CM086959.1	scaffold	2	4	722349				2	328004				6	2272020				2	681862	822928	local:hprc_censat		
HG02132	pat	1	HG02132_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	2927595203	115	34.0	2104249.0	HG02132#1#CM086902.1	contig	0	0	228885				3	247914				1	378770				3	140971				2	90661	1001771	local:hprc_censat		
HG02280	pat	1	HG02280_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3038198364	87	40.0	4054977.0				6	0	HG02280#1#CM086296.1	contig	0	6	1546342				3	520395				2	375452				5	844303	529947	local:hprc_censat		
HG02293	pat	1	HG02293_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3043162374	118	52.0	3379128.0				1	3078				1	98016				8	19061				6	796307				2	100925	2342041	local:hprc_censat		
HG02300	pat	1	HG02300_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3042903063	113	49.0	4255117.0				8	0				4	526849				3	375525				4	200971				7	671941	2467602	local:hprc_censat		
HG02451	pat	1	HG02451_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3038851516	95	47.0	5252322.0	HG02451#1#CM086208.1	contig	0	2	775563				4	1162069				12	20910	HG02451#1#CM086210.1	contig	0	0	362164				3	828997	1774035	local:hprc_censat		
HG02523	pat	1	HG02523_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3025983784	105	50.0	4950446.0	HG02523#1#CM086928.1	contig	0	0	344851				3	438254				1	11993				9	1804716				6	785805	1552599	local:hprc_censat		
HG02615	pat	1	HG02615_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3031318528	72	46.0	2668379.0				2	147379				4	671153				2	61693				2	332631				1	8302	1438063	local:hprc_censat		
HG02647	pat	1	HG02647_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	2943616750	127	49.0	2943659.0				3	0				7	302341				1	153329				5	436506				3	567216	1468991	local:hprc_censat		
