assembly	n_18S	n_28S	n_full_units	n_5S_units	n_5S_arrays	largest_5S_array	largest_5S_left	largest_5S_right	DJ_copy_eq	n_DJ_copies	n_arrays	n_arrays_ge2	n_arrays_ge10	largest_array	n_closed	units_in_closed	n_closed_DJ	n_periods	n_periods_identical	period_median	n_periods_outside_40_50kb	sides_contig_end	sides_gap	sides_flank	person	haplotype	method	version	phasing	source	censat_rdna_bp	group
HG03521_hap1_hprc_r2_v1.0.1	128	125	91	74	1	74	flank	flank	2.194	2	25	22	2	18	0	0	0	103	0	44220.0	1	43	1	6	HG03521	hap1	hifiasm	0.19.9	hic	hprc	4963490.0	hifiasm Hi-C (0.19.8-9)
HG02976_hap1_hprc_r2_v1.0.1	197	192	141	68	1	68	flank	flank	3.914	4	39	34	5	17	1	12	1	158	0	44343.5	5	69	0	9	HG02976	hap1	hifiasm	0.19.9	hic	hprc	7477702.0	hifiasm Hi-C (0.19.8-9)
NA18959_hap1_hprc_r2_v1.0.1	119	115	88	68	1	68	flank	flank	3.408	3	19	18	4	20	1	5	1	100	0	44927.5	1	27	3	8	NA18959	hap1	hifiasm	0.19.8	hic	hpp	4777884.0	hifiasm Hi-C (0.19.8-9)
NA18960_hap2_hprc_r2_v1.0.1	141	139	119	93	1	93	flank	flank	4.05	4	32	22	4	19	1	13	1	109	0	44816.0	1	56	1	7	NA18960	hap2	hifiasm	0.19.8	hic	hpp	5455740.0	hifiasm Hi-C (0.19.8-9)
HG03017_mat_hprc_r2_v1.0.1	194	189	120	79	1	79	flank	flank	5.081	5	46	36	5	16	1	2	1	148	0	44897.5	3	78	4	10	HG03017	mat	hifiasm	0.19.9	trio	hprc	7439075.0	hifiasm trio (0.19.9)
HG02083_mat_hprc_r2_v1.0.1	56	50	43	82	1	82	flank	flank	4.947	5	10	10	0	8	4	25	4	46	2	44841.0	0	10	0	10	HG02083	mat	hifiasm	0.19.7	trio	hprc	2204353.0	hifiasm trio (0.19.7)
HG02583_hap2_hprc_r2_v1.0.1	131	126	115	114	1	114	flank	flank	5.105	5	24	22	4	21	3	24	3	107	2	44910.0	0	35	3	10	HG02583	hap2	hifiasm	0.19.9	hic	hprc	5082015.0	hifiasm Hi-C (0.19.8-9)
HG01969_pat_hprc_r2_v1.0.1	123	122	102	105	1	105	flank	flank	5.704	6	23	21	4	16	1	10	1	100	0	44824.5	3	36	0	10	HG01969	pat	hifiasm	0.19.9	trio	hprc	4779607.0	hifiasm trio (0.19.9)
NA19909_hap1_hprc_r2_v1.0.1	135	132	103	66	1	66	flank	flank	4.147	4	25	23	5	25	1	11	1	110	0	44828.0	1	41	0	9	NA19909	hap1	hifiasm	0.19.9	hic	hprc	5218570.0	hifiasm Hi-C (0.19.8-9)
HG02698_mat_hprc_r2_v1.0.1	79	74	52	97	1	97	flank	flank	5.009	5	20	15	1	11	0	0	0	59	0	44716.0	3	30	0	10	HG02698	mat	hifiasm	0.19.7	trio	hprc	2809058.0	hifiasm trio (0.19.7)
HG01978_mat_hprc_r2_v1.1.0	123	119	102	100	1	100	flank	flank	4.882	5	27	22	3	13	0	0	0	96	0	44197.0	5	44	0	10	HG01978	mat	hifiasm	0.19.9	trio	hprc	4649902.0	hifiasm trio (0.19.9)
HG00290_hap1_hprc_r2_v1.0.1	177	167	108	159	1	159	flank	flank	5.98	6	36	29	2	25	0	0	0	141	2	44303.0	7	60	2	10	HG00290	hap1	hifiasm	0.19.9	hic	hprc	6592219.0	hifiasm Hi-C (0.19.8-9)
HG02984_pat_hprc_r2_v1.0.1	98	94	73	136	1	136	flank	flank	4.914	5	24	21	2	11	2	18	2	74	0	44928.0	1	38	0	10	HG02984	pat	hifiasm	0.19.9	trio	hprc	3608047.0	hifiasm trio (0.19.9)
hg002v1.1.mat_MT	25	21	14	104	1	104	flank	flank	4.866	5	10	6	0	5	0	0	0	15	0	44889.0	1	0	10	10	HG002	mat	verkko	1.1	trio	extramural	1081615.0	reference
NA18906_mat_hprc_r2_v1.0.1	163	158	127	84	1	84	flank	flank	4.972	5	32	28	3	20	1	14	1	131	0	44233.0	4	54	0	10	NA18906	mat	hifiasm	0.19.9	trio	hprc	5060698.0	hifiasm trio (0.19.9)
NA18983_hap2_hprc_r2_v1.0.1	164	154	117	61	1	61	flank	flank	7.018	7	38	32	4	13	0	0	0	126	2	44817.5	2	63	2	11	NA18983	hap2	hifiasm	0.19.9	hic	hprc	6174755.0	hifiasm Hi-C (0.19.8-9)
NA20805_hap2_hprc_r2_v1.0.1	109	99	80	75	1	75	flank	flank	5.733	6	30	26	1	16	3	14	3	79	2	44378.0	2	49	0	11	NA20805	hap2	hifiasm	0.19.9	hic	hprc	3859019.0	hifiasm Hi-C (0.19.8-9)
NA20503_hap1_hprc_r2_v1.0.1	10	6	5	83	1	83	flank	flank	4.117	4	8	2	0	2	1	2	1	2	0	80391.0	1	3	4	9	NA20503	hap1	verkko	2.2.1	hic	hpp	400456.0	Verkko
HG01081_pat_hprc_r2_v1.0.1	121	114	94	60	1	60	flank	flank	5.107	5	27	26	1	14	0	0	0	94	0	44507.0	0	44	0	10	HG01081	pat	hifiasm	0.19.9	trio	hprc	4513924.0	hifiasm trio (0.19.9)
HG00235_hap1_hprc_r2_v1.0.1	95	90	71	92	1	92	flank	flank	3.971	4	21	17	2	12	3	23	3	74	0	44896.0	5	33	0	9	HG00235	hap1	hifiasm	0.19.9	hic	hprc	3624523.0	hifiasm Hi-C (0.19.8-9)
NA18971_hap1_hprc_r2_v1.0.1	166	156	133	42	1	42	flank	flank	6.81	7	37	32	2	15	1	8	1	129	0	44910.0	4	60	0	14	NA18971	hap1	hifiasm	0.19.9	hic	hprc	6221712.0	hifiasm Hi-C (0.19.8-9)
NA18948_hap2_hprc_r2_v1.0.1	141	134	101	75	1	75	flank	flank	6.76	7	24	21	5	16	4	21	4	117	0	44818.0	1	33	3	12	NA18948	hap2	hifiasm	0.19.8	hic	hpp	5375738.0	hifiasm Hi-C (0.19.8-9)
HG02615_mat_hprc_r2_v1.0.1	85	80	67	120	1	120	flank	flank	4.938	5	27	19	3	13	1	13	1	58	2	44963.5	0	44	0	10	HG02615	mat	hifiasm	0.19.7	trio	hprc	3055457.0	hifiasm trio (0.19.7)
HG01786_hap2_hprc_r2_v1.0.1	163	159	108	130	1	130	flank	flank	6.757	7	36	29	4	12	0	0	0	127	0	44723.0	4	62	0	10	HG01786	hap2	hifiasm	0.19.9	hic	hprc	5254483.0	hifiasm Hi-C (0.19.8-9)
HG00133_hap1_hprc_r2_v1.0.1	101	97	69	107	1	107	flank	flank	4.992	5	20	15	4	15	3	23	3	81	2	44837.0	5	30	0	10	HG00133	hap1	hifiasm	0.19.9	hic	hprc	3929310.0	hifiasm Hi-C (0.19.8-9)
HG01150_pat_hprc_r2_v1.0.1	154	151	119	160	1	160	flank	flank	4.998	5	28	23	3	22	2	36	2	126	0	44788.5	1	44	2	10	HG01150	pat	hifiasm	0.19.9	trio	hprc	6134269.0	hifiasm trio (0.19.9)
HG02841_mat_hprc_r2_v1.0.1	117	108	84	105	1	105	flank	flank	5.16	5	38	33	1	13	2	8	2	79	0	44700.0	1	66	0	10	HG02841	mat	hifiasm	0.19.9	trio	hprc	4179265.0	hifiasm trio (0.19.9)
HG00597_pat_hprc_r2_v1.0.1	94	90	64	71	1	71	flank	flank	4.666	4	39	22	1	11	1	5	1	55	0	44992.0	1	68	1	9	HG00597	pat	hifiasm	0.19.7	trio	hprc	3144939.0	hifiasm trio (0.19.7)
HG00097_hap2_hprc_r2_v1.0.1	135	128	90	89	1	89	flank	flank	5.0	5	28	24	5	15	1	2	1	106	0	44347.0	5	43	3	10	HG00097	hap2	hifiasm	0.19.9	hic	hprc	4460822.0	hifiasm Hi-C (0.19.8-9)
HG005_pat_hprc_r2_v1.0.1	158	154	107	88	1	88	flank	flank	4.876	5	50	43	0	8	1	5	1	108	0	44904.5	4	84	6	10	HG005	pat	hifiasm	0.19.9	trio	hprc	4606729.0	hifiasm trio (0.19.9)
HG02257_pat_hprc_r2_v1.1.0	116	112	73	145	1	145	flank	flank	4.97	5	42	33	1	14	0	0	0	74	0	44913.5	0	74	0	10	HG02257	pat	hifiasm	0.19.9	trio	hprc	3647967.0	hifiasm trio (0.19.9)
HG00099_hap1_hprc_r2_v1.0.1	216	208	143	57	1	57	flank	flank	2.451	2	56	49	4	17	0	0	0	160	0	44906.5	18	104	2	6	HG00099	hap1	hifiasm	0.19.9	hic	hprc	7422199.0	hifiasm Hi-C (0.19.8-9)
NA19776_hap1_hprc_r2_v1.0.1	136	131	74	154	1	154	flank	flank	5.926	6	38	32	1	15	0	0	0	98	0	44907.5	10	65	2	9	NA19776	hap1	hifiasm	0.19.9	hic	hprc	4909939.0	hifiasm Hi-C (0.19.8-9)
HG01123_pat_hprc_r2_v1.0.1	85	76	55	88	1	88	flank	flank	5.027	5	21	18	2	10	3	19	3	64	2	44931.0	7	32	0	10	HG01123	pat	hifiasm	0.19.9	trio	hprc	3025298.0	hifiasm trio (0.19.9)
NA21110_hap1_hprc_r2_v1.0.1	142	135	111	107	1	107	flank	flank	3.229	3	25	25	3	19	1	2	1	117	0	44824.0	3	42	0	8	NA21110	hap1	hifiasm	0.19.9	hic	hprc	5719508.0	hifiasm Hi-C (0.19.8-9)
HG00126_hap2_hprc_r2_v1.0.1	114	111	74	47	1	47	flank	flank	3.241	3	28	22	0	9	1	6	1	86	0	44850.5	5	46	2	8	HG00126	hap2	hifiasm	0.19.9	hic	hprc	4179159.0	hifiasm Hi-C (0.19.8-9)
HG02572_mat_hprc_r2_v1.0.1	120	116	97	105	1	105	flank	flank	4.934	5	38	22	2	11	0	0	0	82	6	44857.0	0	66	0	10	HG02572	mat	hifiasm	0.19.7	trio	hprc	4218036.0	hifiasm trio (0.19.7)
HG01358_pat_hprc_r2_v1.0.1	124	121	79	146	1	146	flank	flank	5.101	5	31	26	2	11	0	0	0	93	0	45043.0	4	54	0	8	HG01358	pat	hifiasm	0.19.9	trio	hprc	4652139.0	hifiasm trio (0.19.9)
HG02135_pat_hprc_r2_v1.0.1	188	175	127	75	1	75	flank	flank	4.972	5	49	42	4	19	1	4	1	139	0	44860.0	5	88	0	10	HG02135	pat	hifiasm	0.19.9	trio	hprc	6719679.0	hifiasm trio (0.19.9)
HG02602_mat_hprc_r2_v1.0.1	82	77	64	65	1	65	flank	flank	5.006	5	22	17	1	13	2	9	2	60	0	44917.0	1	34	0	10	HG02602	mat	hifiasm	0.19.9	trio	hprc	2611187.0	hifiasm trio (0.19.9)
HG02165_hap2_hprc_r2_v1.0.1	128	119	93	91	1	91	flank	flank	6.049	6	24	21	3	15	1	3	1	104	0	44846.5	5	37	0	11	HG02165	hap2	hifiasm	0.19.9	hic	hprc	4924489.0	hifiasm Hi-C (0.19.8-9)
HG00128_hap1_hprc_r2_v1.0.1	122	120	86	81	2	64	gap	flank	6.958	7	36	22	3	17	2	8	2	86	0	44810.5	2	59	0	13	HG00128	hap1	hifiasm	0.19.9	hic	hprc	4148844.0	hifiasm Hi-C (0.19.8-9)
HG03579_mat_hprc_r2_v1.0.1	119	114	95	75	1	75	flank	flank	4.908	5	37	32	0	9	1	9	1	82	0	44291.0	0	64	0	10	HG03579	mat	hifiasm	0.19.9	trio	hprc	4151474.0	hifiasm trio (0.19.9)
HG01167_hap1_hprc_r2_v1.0.1	125	119	98	177	1	177	flank	flank	7.919	8	29	22	3	11	2	6	2	96	2	44920.5	1	43	2	13	HG01167	hap1	hifiasm	0.19.9	hic	hprc	4275737.0	hifiasm Hi-C (0.19.8-9)
HG00146_hap1_hprc_r2_v1.0.1	151	139	114	90	1	90	flank	flank	2.619	2	35	30	1	11	0	0	0	116	0	44865.5	3	61	3	6	HG00146	hap1	hifiasm	0.19.9	hic	hprc	5780133.0	hifiasm Hi-C (0.19.8-9)
HG02145_mat_hprc_r2_v1.0.1	128	126	83	98	1	98	flank	flank	4.901	5	39	30	3	15	1	15	1	89	0	44841.0	3	68	0	10	HG02145	mat	hifiasm	0.19.9	trio	hprc	3923530.0	hifiasm trio (0.19.9)
HG03942_pat_hprc_r2_v1.0.1	126	121	99	55	1	55	flank	flank	5.633	6	37	25	3	15	2	17	2	89	0	44849.0	3	63	1	10	HG03942	pat	hifiasm	0.19.9	trio	hprc	4422857.0	hifiasm trio (0.19.9)
HG03742_hap1_hprc_r2_v1.0.1	115	110	76	132	1	132	flank	flank	3.06	3	29	27	0	9	2	14	2	86	0	44909.0	9	51	0	7	HG03742	hap1	hifiasm	0.19.9	hic	hprc	4235171.0	hifiasm Hi-C (0.19.8-9)
NA19087_hap2_hprc_r2_v1.0.1	184	176	133	73	1	73	flank	flank	6.109	6	28	26	8	17	3	23	3	156	0	44844.5	8	45	0	11	NA19087	hap2	hifiasm	0.19.9	hic	hprc	7385835.0	hifiasm Hi-C (0.19.8-9)
HG00733_pat_hprc_r2_v1.0.1	130	123	95	67	1	67	flank	flank	4.957	5	34	30	2	11	0	0	0	96	0	44859.5	3	58	0	10	HG00733	pat	hifiasm	0.19.9	trio	hprc	4243544.0	hifiasm trio (0.19.9)
HG01255_mat_hprc_r2_v1.0.1	97	90	74	74	1	74	flank	flank	5.041	5	22	16	4	14	0	0	0	75	0	44225.0	0	33	0	11	HG01255	mat	hifiasm	0.19.7	trio	hprc	3478425.0	hifiasm trio (0.19.7)
HG03710_mat_hprc_r2_v1.0.1	124	118	94	126	1	126	flank	flank	4.378	4	33	25	3	19	1	5	1	91	0	44797.0	1	57	0	9	HG03710	mat	hifiasm	0.19.7	trio	hprc	4130360.0	hifiasm trio (0.19.7)
HG00706_mat_hprc_r2_v1.0.1	104	104	88	104	2	72	flank	gap	4.977	5	31	23	1	11	0	0	0	73	2	44967.0	0	52	1	9	HG00706	mat	hifiasm	0.19.9	trio	hprc	3762998.0	hifiasm trio (0.19.9)
HG03874_hap1_hprc_r2_v1.0.1	121	115	90	82	1	82	flank	flank	4.985	5	28	22	1	11	2	11	2	93	0	44868.0	5	43	4	9	HG03874	hap1	hifiasm	0.19.9	hic	hprc	4642904.0	hifiasm Hi-C (0.19.8-9)
HG02647_mat_hprc_r2_v1.0.1	75	75	57	118	1	118	flank	flank	5.158	5	30	19	0	7	0	0	0	45	0	44895.0	1	50	0	10	HG02647	mat	hifiasm	0.19.7	trio	hprc	2429573.0	hifiasm trio (0.19.7)
NA20870_hap2_hprc_r2_v1.0.1	113	105	71	89	1	89	flank	flank	5.17	5	33	26	2	13	0	0	0	80	0	44921.5	8	57	0	9	NA20870	hap2	hifiasm	0.19.9	hic	hprc	3976819.0	hifiasm Hi-C (0.19.8-9)
NA20827_hap1_hprc_r2_v1.0.1	18	15	12	89	1	89	flank	flank	2.057	2	8	4	0	4	0	0	0	10	0	44058.5	0	1	8	7	NA20827	hap1	verkko	2.2.1	hic	hpp	841635.0	Verkko
HG00735_mat_hprc_r2_v1.0.1	65	62	40	73	1	73	flank	flank	4.996	5	17	13	0	9	2	11	2	48	2	44913.0	2	24	0	10	HG00735	mat	hifiasm	0.19.7	trio	hprc	2415537.0	hifiasm trio (0.19.7)
HG00350_hap1_hprc_r2_v1.0.1	144	137	87	148	3	85	gap	flank	4.118	3	33	29	4	17	0	0	0	111	0	44879.0	2	58	0	8	HG00350	hap1	hifiasm	0.19.9	hic	hprc	4410154.0	hifiasm Hi-C (0.19.8-9)
NA19443_hap1_hprc_r2_v1.0.1	168	166	140	48	1	48	flank	flank	5.952	6	35	31	3	23	1	6	1	133	0	44801.0	3	54	4	12	NA19443	hap1	hifiasm	0.19.9	hic	hprc	6489066.0	hifiasm Hi-C (0.19.8-9)
NA19835_hap1_hprc_r2_v1.0.1	160	152	125	75	1	75	flank	flank	3.892	4	34	30	3	17	0	0	0	126	0	44397.0	5	59	0	9	NA19835	hap1	hifiasm	0.19.9	hic	hprc	5881681.0	hifiasm Hi-C (0.19.8-9)
HG02523_pat_hprc_r2_v1.0.1	154	148	88	82	1	82	flank	flank	4.553	5	38	34	4	11	1	9	1	116	0	44456.5	3	66	0	10	HG02523	pat	hifiasm	0.19.7	trio	hprc	4950446.0	hifiasm trio (0.19.7)
