assembly	array	contig	start	end	span	n_18S	n_28S	strand	mixed_strand	left	right	contig_len	n_periods	period_median	period_min	period_max	n_identical
NA18944_hap1_hprc_r2_v1.0.1	NA18944#1#CM101655.1:2423522	NA18944#1#CM101655.1	2423522	2692806	269284	7	6	+	0	flank+DJ	flank	42333219	6	44840.0	43323	44845	2
NA18944_hap1_hprc_r2_v1.0.1	NA18944#1#CM101656.1:6743717	NA18944#1#CM101656.1	6743717	7056666	312949	8	8	+	0	flank+DJ	gap	55705316	7	44819.0	43339	44958	0
NA18944_hap1_hprc_r2_v1.0.1	NA18944#1#CM101656.1:9458384	NA18944#1#CM101656.1	9458384	10466190	1007806	25	24	+	0	flank+DJ	flank	55705316	24	43410.5	21353	45097	0
NA18944_hap1_hprc_r2_v1.0.1	NA18944#1#JBKACG010000013.1:2032	NA18944#1#JBKACG010000013.1	2032	93860	91828	3	2	+	0	contig_end	flank	103014703	2	44979.5	44967	44992	0
NA18944_hap1_hprc_r2_v1.0.1	NA18944#1#JBKACG010000014.1:2086999	NA18944#1#JBKACG010000014.1	2086999	2309949	222950	6	5	+	0	flank+DJ	flank	99507727	5	44331.0	43564	44463	0
NA18944_hap1_hprc_r2_v1.0.1	NA18944#1#JBKACG010000015.1:2424438	NA18944#1#JBKACG010000015.1	2424438	2545027	120589	4	3	+	0	flank+DJ	flank	94594438	3	45699.0	26949	46072	0
NA18944_hap1_hprc_r2_v1.0.1	NA18944#1#JBKACG010000026.1:2665561	NA18944#1#JBKACG010000026.1	2665561	2710937	45376	2	2	+	0	flank+DJ	contig_end	2719461	1	43507.0	43507	43507	0
NA18944_hap1_hprc_r2_v1.0.1	NA18944#1#JBKACG010000029.1:44224	NA18944#1#JBKACG010000029.1	44224	477346	433122	11	11	+	0	contig_end	contig_end	506049	10	44796.5	36180	45005	0
NA18944_hap1_hprc_r2_v1.0.1	NA18944#1#JBKACG010000032.1:1003185	NA18944#1#JBKACG010000032.1	1003185	1274650	271465	7	7	+	0	flank+DJ	contig_end	1317418	6	44916.5	43440	46046	0
NA18944_hap1_hprc_r2_v1.0.1	NA18944#1#JBKACG010000035.1:40690	NA18944#1#JBKACG010000035.1	40690	257884	217194	6	5	+	0	contig_end	contig_end	260465	5	44906.0	36217	44973	0
NA18944_hap1_hprc_r2_v1.0.1	NA18944#1#JBKACG010000037.1:15772	NA18944#1#JBKACG010000037.1	15772	192761	176989	5	5	+	0	contig_end	contig_end	209003	4	43785.5	42972	44580	0
NA18944_hap1_hprc_r2_v1.0.1	NA18944#1#JBKACG010000038.1:14126	NA18944#1#JBKACG010000038.1	14126	195797	181671	5	5	+	0	contig_end	contig_end	238504	4	44938.5	44933	44992	0
NA18944_hap1_hprc_r2_v1.0.1	NA18944#1#JBKACG010000039.1:34665	NA18944#1#JBKACG010000039.1	34665	443499	408834	10	10	+	0	contig_end	contig_end	450870	9	44872.0	44750	46516	0
NA18944_hap1_hprc_r2_v1.0.1	NA18944#1#JBKACG010000040.1:13523	NA18944#1#JBKACG010000040.1	13523	381032	367509	9	8	+	0	contig_end	contig_end	388029	8	44949.0	42975	49430	0
NA18944_hap1_hprc_r2_v1.0.1	NA18944#1#JBKACG010000041.1:44731	NA18944#1#JBKACG010000041.1	44731	230645	185914	5	5	+	0	contig_end	contig_end	265280	4	44929.0	44863	49324	0
NA18944_hap1_hprc_r2_v1.0.1	NA18944#1#JBKACG010000042.1:33849	NA18944#1#JBKACG010000042.1	33849	79925	46076	2	2	+	0	contig_end	contig_end	109016	1	44207.0	44207	44207	0
NA18944_hap1_hprc_r2_v1.0.1	NA18944#1#JBKACG010000043.1:44306	NA18944#1#JBKACG010000043.1	44306	91146	46840	2	2	+	0	contig_end	contig_end	128309	1	44971.0	44971	44971	0
NA18944_hap1_hprc_r2_v1.0.1	NA18944#1#JBKACG010000048.1:23096	NA18944#1#JBKACG010000048.1	23096	200210	177114	5	4	+	0	contig_end	contig_end	204970	4	43674.0	42952	44945	0
NA18944_hap1_hprc_r2_v1.0.1	NA18944#1#JBKACG010000051.1:16628	NA18944#1#JBKACG010000051.1	16628	194247	177619	5	5	+	0	contig_end	contig_end	231330	4	43933.0	42960	44924	0
NA18944_hap1_hprc_r2_v1.0.1	NA18944#1#JBKACG010000054.1:43418	NA18944#1#JBKACG010000054.1	43418	89922	46504	2	2	+	0	contig_end	contig_end	128433	1	44635.0	44635	44635	0
