sample	chrom	fish	fish_share	assembled	assembled_total	assembled_placed	asm_share_of_placed
HG002	chr13	113.0	0.19023569023569023	13	58	58	0.22413793103448276
HG002	chr14	124.0	0.20875420875420875	9	58	58	0.15517241379310345
HG002	chr15	115.0	0.1936026936026936	10	58	58	0.1724137931034483
HG002	chr21	116.0	0.19528619528619529	12	58	58	0.20689655172413793
HG002	chr22	126.0	0.21212121212121213	14	58	58	0.2413793103448276
HG01109	chr13	148.0	0.2840690978886756	13	199	93	0.13978494623655913
HG01109	chr14	91.0	0.1746641074856046	34	199	93	0.3655913978494624
HG01109	chr15	67.0	0.12859884836852206	1	199	93	0.010752688172043012
HG01109	chr21	97.0	0.18618042226487524	20	199	93	0.21505376344086022
HG01109	chr22	118.0	0.22648752399232247	25	199	93	0.26881720430107525
HG01243	chr13	44.0	0.07985480943738657	20	211	112	0.17857142857142858
HG01243	chr14	99.0	0.17967332123411978	21	211	112	0.1875
HG01243	chr15	124.0	0.2250453720508167	21	211	112	0.1875
HG01243	chr21	172.0	0.3121597096188748	28	211	112	0.25
HG01243	chr22	112.0	0.20326678765880218	22	211	112	0.19642857142857142
HG02055	chr13	63.0	0.13070539419087138	10	203	115	0.08695652173913043
HG02055	chr14	20.0	0.04149377593360996	34	203	115	0.2956521739130435
HG02055	chr15	52.0	0.1078838174273859	7	203	115	0.06086956521739131
HG02055	chr21	220.0	0.45643153526970953	40	203	115	0.34782608695652173
HG02055	chr22	127.0	0.26348547717842324	24	203	115	0.20869565217391303
HG02723	chr13	92.0	0.1616871704745167	7	213	152	0.046052631578947366
HG02723	chr14	120.0	0.210896309314587	74	213	152	0.4868421052631579
HG02723	chr15	206.0	0.36203866432337434	6	213	152	0.039473684210526314
HG02723	chr21	41.0	0.07205623901581722	15	213	152	0.09868421052631579
HG02723	chr22	110.0	0.19332161687170474	50	213	152	0.32894736842105265
