assembly	array	contig	start	end	span	n_18S	n_28S	strand	mixed_strand	left	right	contig_len	n_periods	period_median	period_min	period_max	n_identical
hg002v1.1.mat_MT	HG002#2#chr13:3650761	HG002#2#chr13	3650761	3701393	50632	2	2	+	0	flank+DJ	gap	113336972	1.0	48763.0	48763.0	48763.0	0.0
hg002v1.1.mat_MT	HG002#2#chr13:9643277	HG002#2#chr13	9643277	9778575	135298	4	3	+	0	gap	flank	113336972	3.0	44311.0	44210.0	44910.0	0.0
hg002v1.1.mat_MT	HG002#2#chr14:3471400	HG002#2#chr14	3471400	3473269	1869	1	1	+	0	flank+DJ	gap	108656801					
hg002v1.1.mat_MT	HG002#2#chr14:8574293	HG002#2#chr14	8574293	8620476	46183	2	2	+	0	gap	flank	108656801	1.0	44314.0	44314.0	44314.0	0.0
hg002v1.1.mat_MT	HG002#2#chr15:2244898	HG002#2#chr15	2244898	2246767	1869	1	1	+	0	flank+DJ	gap	100881320					
hg002v1.1.mat_MT	HG002#2#chr15:5734535	HG002#2#chr15	5734535	5825049	90514	3	2	+	0	gap	flank	100881320	2.0	44322.5	44301.0	44344.0	0.0
hg002v1.1.mat_MT	HG002#2#chr21:4197831	HG002#2#chr21	4197831	4199700	1869	1	1	+	0	flank+DJ	gap	47311724					
hg002v1.1.mat_MT	HG002#2#chr21:7950051	HG002#2#chr21	7950051	8142360	192309	5	4	+	0	gap	flank	47311724	4.0	45949.0	44813.0	53731.0	0.0
hg002v1.1.mat_MT	HG002#2#chr22:2686114	HG002#2#chr22	2686114	2687983	1869	1	1	+	0	flank+DJ	gap	53395367					
hg002v1.1.mat_MT	HG002#2#chr22:8089719	HG002#2#chr22	8089719	8271133	181414	5	4	+	0	gap	flank	53395367	4.0	44896.0	44795.0	44961.0	0.0
